in s,C1 in V
-2.35730E-01,-1.31120E+00
-2.35727E-01,-1.31471E+00
-2.35724E-01,-1.31738E+00
-2.35721E-01,-1.32066E+00
-2.35717E-01,-1.32409E+00
-2.35714E-01,-1.32676E+00
-2.35711E-01,-1.32943E+00
-2.35707E-01,-1.33302E+00
-2.35704E-01,-1.33630E+00
-2.35701E-01,-1.33844E+00
-2.35698E-01,-1.34095E+00
-2.35694E-01,-1.34454E+00
-2.35691E-01,-1.34828E+00
-2.35688E-01,-1.35148E+00
-2.35684E-01,-1.35484E+00
-2.35681E-01,-1.35766E+00
-2.35678E-01,-1.36010E+00
-2.35674E-01,-1.36399E+00
-2.35671E-01,-1.36735E+00
-2.35668E-01,-1.36995E+00
-2.35665E-01,-1.37437E+00
-2.35661E-01,-1.37613E+00
-2.35658E-01,-1.37803E+00
-2.35655E-01,-1.38185E+00
-2.35651E-01,-1.38383E+00
-2.35648E-01,-1.38612E+00
-2.35645E-01,-1.38810E+00
-2.35642E-01,-1.39093E+00
-2.35638E-01,-1.39322E+00
-2.35635E-01,-1.39756E+00
-2.35632E-01,-1.39955E+00
-2.35628E-01,-1.40138E+00
-2.35625E-01,-1.40443E+00
-2.35622E-01,-1.40779E+00
-2.35618E-01,-1.41114E+00
-2.35615E-01,-1.41412E+00
-2.35612E-01,-1.41755E+00
-2.35609E-01,-1.41999E+00
-2.35605E-01,-1.42335E+00
-2.35602E-01,-1.42640E+00
-2.35599E-01,-1.42900E+00
-2.35595E-01,-1.43136E+00
-2.35592E-01,-1.43449E+00
-2.35589E-01,-1.43731E+00
-2.35585E-01,-1.43876E+00
-2.35582E-01,-1.44220E+00
-2.35579E-01,-1.44517E+00
-2.35576E-01,-1.44777E+00
-2.35572E-01,-1.45127E+00
-2.35569E-01,-1.45463E+00
-2.35566E-01,-1.45700E+00
-2.35562E-01,-1.45936E+00
-2.35559E-01,-1.46135E+00
-2.35556E-01,-1.46394E+00
-2.35553E-01,-1.46691E+00
-2.35549E-01,-1.46959E+00
-2.35546E-01,-1.47149E+00
-2.35543E-01,-1.47477E+00
-2.35539E-01,-1.47721E+00
-2.35536E-01,-1.48050E+00
-2.35533E-01,-1.48393E+00
-2.35529E-01,-1.48652E+00
-2.35526E-01,-1.48866E+00
-2.35523E-01,-1.49163E+00
-2.35520E-01,-1.49385E+00
-2.35516E-01,-1.49713E+00
-2.35513E-01,-1.49934E+00
-2.35510E-01,-1.50239E+00
-2.35506E-01,-1.50483E+00
-2.35503E-01,-1.50712E+00
-2.35500E-01,-1.51002E+00
-2.35496E-01,-1.51292E+00
-2.35493E-01,-1.51673E+00
-2.35490E-01,-1.51864E+00
-2.35487E-01,-1.52192E+00
-2.35483E-01,-1.52459E+00
-2.35480E-01,-1.52711E+00
-2.35477E-01,-1.52986E+00
-2.35473E-01,-1.53245E+00
-2.35470E-01,-1.53527E+00
-2.35467E-01,-1.53871E+00
-2.35464E-01,-1.54016E+00
-2.35460E-01,-1.54214E+00
-2.35457E-01,-1.54504E+00
-2.35454E-01,-1.54710E+00
-2.35450E-01,-1.54962E+00
-2.35447E-01,-1.55206E+00
-2.35444E-01,-1.55328E+00
-2.35440E-01,-1.55648E+00
-2.35437E-01,-1.55839E+00
-2.35434E-01,-1.56030E+00
-2.35431E-01,-1.56259E+00
-2.35427E-01,-1.56503E+00
-2.35424E-01,-1.56755E+00
-2.35421E-01,-1.57014E+00
-2.35417E-01,-1.57167E+00
-2.35414E-01,-1.57472E+00
-2.35411E-01,-1.57754E+00
-2.35407E-01,-1.57960E+00
-2.35404E-01,-1.58220E+00
-2.35401E-01,-1.58502E+00
-2.35398E-01,-1.58639E+00
-2.35394E-01,-1.58899E+00
-2.35391E-01,-1.59158E+00
-2.35388E-01,-1.59532E+00
-2.35384E-01,-1.59814E+00
-2.35381E-01,-1.59982E+00
-2.35378E-01,-1.60257E+00
-2.35375E-01,-1.60562E+00
-2.35371E-01,-1.60859E+00
-2.35368E-01,-1.61187E+00
-2.35365E-01,-1.61523E+00
-2.35361E-01,-1.61714E+00
-2.35358E-01,-1.61897E+00
-2.35355E-01,-1.62172E+00
-2.35351E-01,-1.62385E+00
-2.35348E-01,-1.62660E+00
-2.35345E-01,-1.62927E+00
-2.35342E-01,-1.63118E+00
-2.35338E-01,-1.63354E+00
