in s,C1 in V
-2.35730E-01,-1.28160E+00
-2.35727E-01,-1.28228E+00
-2.35724E-01,-1.28228E+00
-2.35721E-01,-1.28175E+00
-2.35717E-01,-1.28251E+00
-2.35714E-01,-1.28190E+00
-2.35711E-01,-1.28198E+00
-2.35707E-01,-1.28274E+00
-2.35704E-01,-1.28289E+00
-2.35701E-01,-1.29571E+00
-2.35698E-01,-1.29861E+00
-2.35694E-01,-1.29869E+00
-2.35691E-01,-1.29815E+00
-2.35688E-01,-1.29808E+00
-2.35684E-01,-1.29777E+00
-2.35681E-01,-1.29831E+00
-2.35678E-01,-1.29884E+00
-2.35674E-01,-1.29823E+00
-2.35671E-01,-1.29884E+00
-2.35668E-01,-1.29876E+00
-2.35665E-01,-1.29876E+00
-2.35661E-01,-1.29922E+00
-2.35658E-01,-1.29975E+00
-2.35655E-01,-1.30006E+00
-2.35651E-01,-1.30059E+00
-2.35648E-01,-1.30052E+00
-2.35645E-01,-1.30067E+00
-2.35642E-01,-1.29998E+00
-2.35638E-01,-1.29907E+00
-2.35635E-01,-1.29899E+00
-2.35632E-01,-1.29785E+00
-2.35628E-01,-1.29823E+00
-2.35625E-01,-1.29777E+00
-2.35622E-01,-1.29815E+00
-2.35618E-01,-1.29831E+00
-2.35615E-01,-1.29953E+00
-2.35612E-01,-1.29983E+00
-2.35609E-01,-1.30044E+00
-2.35605E-01,-1.30128E+00
-2.35602E-01,-1.30189E+00
-2.35599E-01,-1.30174E+00
-2.35595E-01,-1.30174E+00
-2.35592E-01,-1.30136E+00
-2.35589E-01,-1.30723E+00
-2.35585E-01,-1.31860E+00
-2.35582E-01,-1.31868E+00
-2.35579E-01,-1.31898E+00
-2.35576E-01,-1.31898E+00
-2.35572E-01,-1.31837E+00
-2.35569E-01,-1.31822E+00
-2.35566E-01,-1.31639E+00
-2.35562E-01,-1.31601E+00
-2.35559E-01,-1.31601E+00
-2.35556E-01,-1.31639E+00
-2.35553E-01,-1.31601E+00
-2.35549E-01,-1.31715E+00
-2.35546E-01,-1.31700E+00
-2.35543E-01,-1.31707E+00
-2.35539E-01,-1.31738E+00
-2.35536E-01,-1.31768E+00
-2.35533E-01,-1.31837E+00
-2.35529E-01,-1.31929E+00
-2.35526E-01,-1.31822E+00
-2.35523E-01,-1.31890E+00
-2.35520E-01,-1.31959E+00
-2.35516E-01,-1.31906E+00
-2.35513E-01,-1.31982E+00
-2.35510E-01,-1.32119E+00
-2.35506E-01,-1.32096E+00
-2.35503E-01,-1.32119E+00
-2.35500E-01,-1.31997E+00
-2.35496E-01,-1.32035E+00
-2.35493E-01,-1.31936E+00
-2.35490E-01,-1.31906E+00
-2.35487E-01,-1.31860E+00
-2.35483E-01,-1.31898E+00
-2.35480E-01,-1.31860E+00
-2.35477E-01,-1.32379E+00
-2.35473E-01,-1.33561E+00
-2.35470E-01,-1.33554E+00
-2.35467E-01,-1.33569E+00
-2.35464E-01,-1.33538E+00
-2.35460E-01,-1.33516E+00
-2.35457E-01,-1.33538E+00
-2.35454E-01,-1.33523E+00
-2.35450E-01,-1.33508E+00
-2.35447E-01,-1.33622E+00
-2.35444E-01,-1.33599E+00
-2.35440E-01,-1.33561E+00
-2.35437E-01,-1.33584E+00
-2.35434E-01,-1.33569E+00
-2.35431E-01,-1.33554E+00
-2.35427E-01,-1.33607E+00
-2.35424E-01,-1.33599E+00
-2.35421E-01,-1.33500E+00
-2.35417E-01,-1.33470E+00
-2.35414E-01,-1.33439E+00
-2.35411E-01,-1.33416E+00
-2.35407E-01,-1.33432E+00
-2.35404E-01,-1.33447E+00
-2.35401E-01,-1.33432E+00
-2.35398E-01,-1.33462E+00
-2.35394E-01,-1.33386E+00
-2.35391E-01,-1.33439E+00
-2.35388E-01,-1.33317E+00
-2.35384E-01,-1.33294E+00
-2.35381E-01,-1.33279E+00
-2.35378E-01,-1.33287E+00
-2.35375E-01,-1.33386E+00
-2.35371E-01,-1.33340E+00
-2.35368E-01,-1.33378E+00
-2.35365E-01,-1.33317E+00
-2.35361E-01,-1.34835E+00
-2.35358E-01,-1.34980E+00
-2.35355E-01,-1.35080E+00
-2.35351E-01,-1.35080E+00
-2.35348E-01,-1.34996E+00
-2.35345E-01,-1.35148E+00
-2.35342E-01,-1.35179E+00
-2.35338E-01,-1.35225E+00
-2.35335E-01,-1.35339E+00
-2.35332E-01,-1.35240E+00
-2.35328E-01,-1.35232E+00
-2.35325E-01,-1.35263E+00
-2.35322E-01,-1.35209E+00
-2.35318E-01,-1.35263E+00
-2.35315E-01,-1.35163E+00
-2.35312E-01,-1.35110E+00
-2.35309E-01,-1.35148E+00
-2.35305E-01,-1.35148E+00
-2.35302E-01,-1.35202E+00
-2.35299E-01,-1.35308E+00
-2.35295E-01,-1.35293E+00
-2.35292E-01,-1.35194E+00
-2.35289E-01,-1.35278E+00
-2.35286E-01,-1.35225E+00
-2.35282E-01,-1.35171E+00
-2.35279E-01,-1.35255E+00
-2.35276E-01,-1.35202E+00
-2.35272E-01,-1.35141E+00
-2.35269E-01,-1.35118E+00
-2.35266E-01,-1.35095E+00
-2.35262E-01,-1.35034E+00
-2.35259E-01,-1.35095E+00
-2.35256E-01,-1.35080E+00
-2.35253E-01,-1.35064E+00
-2.35249E-01,-1.36346E+00
-2.35246E-01,-1.36743E+00
-2.35243E-01,-1.36804E+00
-2.35239E-01,-1.36811E+00
-2.35236E-01,-1.36796E+00
-2.35233E-01,-1.36834E+00
-2.35230E-01,-1.36911E+00
-2.35226E-01,-1.36872E+00
-2.35223E-01,-1.36888E+00
-2.35220E-01,-1.36956E+00
-2.35216E-01,-1.36926E+00
-2.35213E-01,-1.37002E+00
-2.35210E-01,-1.37094E+00
-2.35206E-01,-1.37033E+00
-2.35203E-01,-1.37117E+00
-2.35200E-01,-1.36995E+00
-2.35197E-01,-1.36956E+00
-2.35193E-01,-1.37010E+00
-2.35190E-01,-1.37078E+00
-2.35187E-01,-1.37086E+00
-2.35183E-01,-1.37086E+00
-2.35180E-01,-1.37025E+00
-2.35177E-01,-1.37056E+00
-2.35173E-01,-1.37002E+00
-2.35170E-01,-1.37002E+00
-2.35167E-01,-1.37117E+00
-2.35164E-01,-1.36964E+00
-2.35160E-01,-1.37017E+00
-2.35157E-01,-1.37048E+00
-2.35154E-01,-1.37048E+00
-2.35150E-01,-1.37056E+00
-2.35147E-01,-1.37109E+00
-2.35144E-01,-1.37071E+00
-2.35141E-01,-1.37025E+00
-2.35137E-01,-1.37651E+00
-2.35134E-01,-1.38612E+00
-2.35131E-01,-1.38658E+00
-2.35127E-01,-1.38719E+00
-2.35124E-01,-1.38742E+00
-2.35121E-01,-1.38726E+00
-2.35117E-01,-1.38673E+00
-2.35114E-01,-1.38681E+00
-2.35111E-01,-1.38665E+00
-2.35108E-01,-1.38627E+00
-2.35104E-01,-1.38551E+00
-2.35101E-01,-1.38658E+00
-2.35098E-01,-1.38665E+00
-2.35094E-01,-1.38551E+00
-2.35091E-01,-1.38566E+00
-2.35088E-01,-1.38498E+00
-2.35084E-01,-1.38452E+00
-2.35081E-01,-1.38520E+00
-2.35078E-01,-1.38360E+00
-2.35075E-01,-1.38421E+00
-2.35071E-01,-1.38421E+00
-2.35068E-01,-1.38391E+00
-2.35065E-01,-1.38406E+00
-2.35061E-01,-1.38337E+00
-2.35058E-01,-1.38391E+00
-2.35055E-01,-1.38467E+00
-2.35052E-01,-1.38414E+00
-2.35048E-01,-1.38414E+00
-2.35045E-01,-1.38444E+00
-2.35042E-01,-1.38505E+00
-2.35038E-01,-1.38604E+00
-2.35035E-01,-1.38612E+00
-2.35032E-01,-1.38635E+00
-2.35028E-01,-1.38620E+00
-2.35025E-01,-1.39116E+00
-2.35022E-01,-1.40321E+00
-2.35019E-01,-1.40397E+00
-2.35015E-01,-1.40420E+00
-2.35012E-01,-1.40344E+00
-2.35009E-01,-1.40344E+00
-2.35005E-01,-1.40359E+00
-2.35002E-01,-1.40290E+00
-2.34999E-01,-1.40458E+00
-2.34995E-01,-1.40382E+00
-2.34992E-01,-1.40435E+00
-2.34989E-01,-1.40466E+00
-2.34986E-01,-1.40496E+00
-2.34982E-01,-1.40451E+00
-2.34979E-01,-1.40535E+00
-2.34976E-01,-1.40672E+00
-2.34972E-01,-1.40657E+00
-2.34969E-01,-1.40710E+00
-2.34966E-01,-1.40763E+00
-2.34963E-01,-1.40763E+00
-2.34959E-01,-1.40824E+00
-2.34956E-01,-1.40817E+00
-2.34953E-01,-1.40840E+00
-2.34949E-01,-1.40687E+00
-2.34946E-01,-1.40626E+00
-2.34943E-01,-1.40496E+00
-2.34939E-01,-1.40519E+00
-2.34936E-01,-1.40451E+00
-2.34933E-01,-1.40413E+00
-2.34930E-01,-1.40435E+00
-2.34926E-01,-1.40367E+00
-2.34923E-01,-1.40466E+00
-2.34920E-01,-1.40474E+00
-2.34916E-01,-1.40573E+00
-2.34913E-01,-1.40611E+00
-2.34910E-01,-1.42327E+00
-2.34906E-01,-1.42389E+00
-2.34903E-01,-1.42442E+00
-2.34900E-01,-1.42381E+00
-2.34897E-01,-1.42411E+00
-2.34893E-01,-1.42427E+00
-2.34890E-01,-1.42427E+00
-2.34887E-01,-1.42442E+00
-2.34883E-01,-1.42411E+00
-2.34880E-01,-1.42343E+00
-2.34877E-01,-1.42350E+00
-2.34874E-01,-1.42419E+00
-2.34870E-01,-1.42289E+00
-2.34867E-01,-1.42312E+00
-2.34864E-01,-1.42312E+00
-2.34860E-01,-1.42190E+00
-2.34857E-01,-1.42312E+00
-2.34854E-01,-1.42312E+00
-2.34850E-01,-1.42213E+00
-2.34847E-01,-1.42236E+00
-2.34844E-01,-1.42236E+00
