in s,C1 in V
-2.35730E-01,-1.85708E+00
-2.35727E-01,-1.85540E+00
-2.35724E-01,-1.85601E+00
-2.35721E-01,-1.85746E+00
-2.35717E-01,-1.85662E+00
-2.35714E-01,-1.85708E+00
-2.35711E-01,-1.85723E+00
-2.35707E-01,-1.85785E+00
-2.35704E-01,-1.85830E+00
-2.35701E-01,-1.87654E+00
-2.35698E-01,-1.87600E+00
-2.35694E-01,-1.87539E+00
-2.35691E-01,-1.87616E+00
-2.35688E-01,-1.87608E+00
-2.35684E-01,-1.87547E+00
-2.35681E-01,-1.87577E+00
-2.35678E-01,-1.87562E+00
-2.35674E-01,-1.87509E+00
-2.35671E-01,-1.87478E+00
-2.35668E-01,-1.87486E+00
-2.35665E-01,-1.87410E+00
-2.35661E-01,-1.87364E+00
-2.35658E-01,-1.87379E+00
-2.35655E-01,-1.87425E+00
-2.35651E-01,-1.87532E+00
-2.35648E-01,-1.87616E+00
-2.35645E-01,-1.87524E+00
-2.35642E-01,-1.87577E+00
-2.35638E-01,-1.89111E+00
-2.35635E-01,-1.89325E+00
-2.35632E-01,-1.89248E+00
-2.35628E-01,-1.89370E+00
-2.35625E-01,-1.89416E+00
-2.35622E-01,-1.89332E+00
-2.35618E-01,-1.89370E+00
-2.35615E-01,-1.89470E+00
-2.35612E-01,-1.89401E+00
-2.35609E-01,-1.89576E+00
-2.35605E-01,-1.89546E+00
-2.35602E-01,-1.89508E+00
-2.35599E-01,-1.89470E+00
-2.35595E-01,-1.89439E+00
-2.35592E-01,-1.89408E+00
-2.35589E-01,-1.89378E+00
-2.35585E-01,-1.89454E+00
-2.35582E-01,-1.89454E+00
-2.35579E-01,-1.89447E+00
-2.35576E-01,-1.90034E+00
-2.35572E-01,-1.91041E+00
-2.35569E-01,-1.90973E+00
-2.35566E-01,-1.91018E+00
-2.35562E-01,-1.91034E+00
-2.35559E-01,-1.90927E+00
-2.35556E-01,-1.90873E+00
-2.35553E-01,-1.90980E+00
-2.35549E-01,-1.90995E+00
-2.35546E-01,-1.90965E+00
-2.35543E-01,-1.91056E+00
-2.35539E-01,-1.91102E+00
-2.35536E-01,-1.91026E+00
-2.35533E-01,-1.90995E+00
-2.35529E-01,-1.91087E+00
-2.35526E-01,-1.91056E+00
-2.35523E-01,-1.91018E+00
-2.35520E-01,-1.91079E+00
-2.35516E-01,-1.91163E+00
-2.35513E-01,-1.91285E+00
-2.35510E-01,-1.92926E+00
-2.35506E-01,-1.92849E+00
-2.35503E-01,-1.92849E+00
-2.35500E-01,-1.92811E+00
-2.35496E-01,-1.92811E+00
-2.35493E-01,-1.92735E+00
-2.35490E-01,-1.92804E+00
-2.35487E-01,-1.92826E+00
-2.35483E-01,-1.92819E+00
-2.35480E-01,-1.92773E+00
-2.35477E-01,-1.92842E+00
-2.35473E-01,-1.92857E+00
-2.35470E-01,-1.92887E+00
-2.35467E-01,-1.92880E+00
-2.35464E-01,-1.92826E+00
-2.35460E-01,-1.92819E+00
-2.35457E-01,-1.92872E+00
-2.35454E-01,-1.92804E+00
-2.35450E-01,-1.92704E+00
-2.35447E-01,-1.93666E+00
-2.35444E-01,-1.94452E+00
-2.35440E-01,-1.94368E+00
-2.35437E-01,-1.94398E+00
-2.35434E-01,-1.94452E+00
-2.35431E-01,-1.94444E+00
-2.35427E-01,-1.94459E+00
-2.35424E-01,-1.94497E+00
-2.35421E-01,-1.94444E+00
-2.35417E-01,-1.94452E+00
-2.35414E-01,-1.94513E+00
-2.35411E-01,-1.94474E+00
-2.35407E-01,-1.94459E+00
-2.35404E-01,-1.94482E+00
-2.35401E-01,-1.94505E+00
-2.35398E-01,-1.94490E+00
-2.35394E-01,-1.94543E+00
-2.35391E-01,-1.94566E+00
-2.35388E-01,-1.94513E+00
-2.35384E-01,-1.95146E+00
-2.35381E-01,-1.96206E+00
-2.35378E-01,-1.96214E+00
-2.35375E-01,-1.96267E+00
-2.35371E-01,-1.96267E+00
-2.35368E-01,-1.96191E+00
-2.35365E-01,-1.96176E+00
-2.35361E-01,-1.96183E+00
-2.35358E-01,-1.96176E+00
-2.35355E-01,-1.96222E+00
-2.35351E-01,-1.96199E+00
-2.35348E-01,-1.96267E+00
-2.35345E-01,-1.96229E+00
-2.35342E-01,-1.96290E+00
-2.35338E-01,-1.96359E+00
-2.35335E-01,-1.96428E+00
-2.35332E-01,-1.96435E+00
-2.35328E-01,-1.96527E+00
-2.35325E-01,-1.96511E+00
-2.35322E-01,-1.96496E+00
-2.35318E-01,-1.97953E+00
-2.35315E-01,-1.98259E+00
-2.35312E-01,-1.98091E+00
-2.35309E-01,-1.98083E+00
-2.35305E-01,-1.98144E+00
-2.35302E-01,-1.98144E+00
-2.35299E-01,-1.98144E+00
-2.35295E-01,-1.98198E+00
-2.35292E-01,-1.98190E+00
-2.35289E-01,-1.98152E+00
-2.35286E-01,-1.98129E+00
-2.35282E-01,-1.98114E+00
-2.35279E-01,-1.97976E+00
-2.35276E-01,-1.98022E+00
-2.35272E-01,-1.98060E+00
-2.35269E-01,-1.97961E+00
-2.35266E-01,-1.97961E+00
-2.35262E-01,-1.98075E+00
-2.35259E-01,-1.98045E+00
-2.35256E-01,-1.98945E+00
-2.35253E-01,-1.99685E+00
-2.35249E-01,-1.99678E+00
-2.35246E-01,-1.99609E+00
-2.35243E-01,-1.99670E+00
-2.35239E-01,-1.99716E+00
-2.35236E-01,-1.99639E+00
-2.35233E-01,-1.99632E+00
-2.35230E-01,-1.99632E+00
-2.35226E-01,-1.99563E+00
-2.35223E-01,-1.99662E+00
-2.35220E-01,-1.99609E+00
-2.35216E-01,-1.99731E+00
-2.35213E-01,-1.99662E+00
-2.35210E-01,-1.99716E+00
-2.35206E-01,-1.99731E+00
-2.35203E-01,-1.99609E+00
-2.35200E-01,-1.99632E+00
-2.35197E-01,-1.99586E+00
-2.35193E-01,-1.99456E+00
-2.35190E-01,-2.01204E+00
-2.35187E-01,-2.01219E+00
-2.35183E-01,-2.01211E+00
-2.35180E-01,-2.01265E+00
-2.35177E-01,-2.01333E+00
-2.35173E-01,-2.01333E+00
-2.35170E-01,-2.01463E+00
-2.35167E-01,-2.01509E+00
-2.35164E-01,-2.01493E+00
-2.35160E-01,-2.01402E+00
-2.35157E-01,-2.01532E+00
-2.35154E-01,-2.01547E+00
-2.35150E-01,-2.01539E+00
-2.35147E-01,-2.01516E+00
-2.35144E-01,-2.01516E+00
-2.35141E-01,-2.01471E+00
-2.35137E-01,-2.01501E+00
-2.35134E-01,-2.01585E+00
-2.35131E-01,-2.01570E+00
-2.35127E-01,-2.03057E+00
-2.35124E-01,-2.03401E+00
-2.35121E-01,-2.03378E+00
-2.35117E-01,-2.03263E+00
-2.35114E-01,-2.03248E+00
-2.35111E-01,-2.03218E+00
-2.35108E-01,-2.03187E+00
-2.35104E-01,-2.03233E+00
-2.35101E-01,-2.03263E+00
-2.35098E-01,-2.03248E+00
-2.35094E-01,-2.03248E+00
-2.35091E-01,-2.03263E+00
-2.35088E-01,-2.03187E+00
-2.35084E-01,-2.03057E+00
-2.35081E-01,-2.03164E+00
-2.35078E-01,-2.03187E+00
-2.35075E-01,-2.03111E+00
-2.35071E-01,-2.03149E+00
-2.35068E-01,-2.03263E+00
-2.35065E-01,-2.03759E+00
-2.35061E-01,-2.04835E+00
-2.35058E-01,-2.04934E+00
-2.35055E-01,-2.04858E+00
-2.35052E-01,-2.04797E+00
-2.35048E-01,-2.04820E+00
-2.35045E-01,-2.04766E+00
-2.35042E-01,-2.04705E+00
-2.35038E-01,-2.04744E+00
-2.35035E-01,-2.04774E+00
-2.35032E-01,-2.04667E+00
-2.35028E-01,-2.04759E+00
-2.35025E-01,-2.04835E+00
-2.35022E-01,-2.04805E+00
-2.35019E-01,-2.04827E+00
-2.35015E-01,-2.04843E+00
-2.35012E-01,-2.04827E+00
-2.35009E-01,-2.04812E+00
-2.35005E-01,-2.04812E+00
-2.35002E-01,-2.04957E+00
-2.34999E-01,-2.06582E+00
-2.34995E-01,-2.06651E+00
-2.34992E-01,-2.06758E+00
-2.34989E-01,-2.06659E+00
-2.34986E-01,-2.06582E+00
-2.34982E-01,-2.06605E+00
-2.34979E-01,-2.06582E+00
-2.34976E-01,-2.06575E+00
-2.34972E-01,-2.06651E+00
-2.34969E-01,-2.06765E+00
-2.34966E-01,-2.06681E+00
-2.34963E-01,-2.06735E+00
-2.34959E-01,-2.06811E+00
-2.34956E-01,-2.06803E+00
-2.34953E-01,-2.06819E+00
-2.34949E-01,-2.06842E+00
-2.34946E-01,-2.06826E+00
-2.34943E-01,-2.06781E+00
-2.34939E-01,-2.06742E+00
-2.34936E-01,-2.07544E+00
-2.34933E-01,-2.08337E+00
-2.34930E-01,-2.08314E+00
-2.34926E-01,-2.08345E+00
-2.34923E-01,-2.08314E+00
-2.34920E-01,-2.08230E+00
-2.34916E-01,-2.08162E+00
-2.34913E-01,-2.08078E+00
-2.34910E-01,-2.08139E+00
-2.34906E-01,-2.08230E+00
-2.34903E-01,-2.08299E+00
-2.34900E-01,-2.08223E+00
-2.34897E-01,-2.08261E+00
-2.34893E-01,-2.08291E+00
-2.34890E-01,-2.08352E+00
-2.34887E-01,-2.08413E+00
-2.34883E-01,-2.08390E+00
-2.34880E-01,-2.08398E+00
-2.34877E-01,-2.08413E+00
-2.34874E-01,-2.08940E+00
-2.34870E-01,-2.10168E+00
-2.34867E-01,-2.10229E+00
-2.34864E-01,-2.10107E+00
-2.34860E-01,-2.10138E+00
-2.34857E-01,-2.10138E+00
-2.34854E-01,-2.10214E+00
-2.34850E-01,-2.10366E+00
-2.34847E-01,-2.10298E+00
-2.34844E-01,-2.10359E+00
-2.34841E-01,-2.10427E+00
-2.34837E-01,-2.10443E+00
-2.34834E-01,-2.10450E+00
-2.34831E-01,-2.10511E+00
-2.34827E-01,-2.10481E+00
-2.34824E-01,-2.10435E+00
-2.34821E-01,-2.10466E+00
-2.34818E-01,-2.10359E+00
-2.34814E-01,-2.10290E+00
-2.34811E-01,-2.10199E+00
-2.34808E-01,-2.11633E+00
-2.34804E-01,-2.11793E+00
-2.34801E-01,-2.11862E+00
-2.34798E-01,-2.11854E+00
-2.34794E-01,-2.11831E+00
-2.34791E-01,-2.11877E+00
-2.34788E-01,-2.11976E+00
-2.34785E-01,-2.12007E+00
-2.34781E-01,-2.12075E+00
-2.34778E-01,-2.12121E+00
-2.34775E-01,-2.12114E+00
-2.34771E-01,-2.12091E+00
-2.34768E-01,-2.12121E+00
-2.34765E-01,-2.12159E+00
-2.34761E-01,-2.12091E+00
-2.34758E-01,-2.12045E+00
-2.34755E-01,-2.11923E+00
-2.34752E-01,-2.11915E+00
-2.34748E-01,-2.11915E+00
-2.34745E-01,-2.12945E+00
-2.34742E-01,-2.13769E+00
-2.34738E-01,-2.13670E+00
-2.34735E-01,-2.13700E+00
-2.34732E-01,-2.13762E+00
