in s,C1 in V
-2.35730E-01,-1.26558E+00
-2.35727E-01,-1.26588E+00
-2.35724E-01,-1.26519E+00
-2.35721E-01,-1.26496E+00
-2.35717E-01,-1.26527E+00
-2.35714E-01,-1.26443E+00
-2.35711E-01,-1.26443E+00
-2.35707E-01,-1.26527E+00
-2.35704E-01,-1.27641E+00
-2.35701E-01,-1.28198E+00
-2.35698E-01,-1.28152E+00
-2.35694E-01,-1.28213E+00
-2.35691E-01,-1.28251E+00
-2.35688E-01,-1.28305E+00
-2.35684E-01,-1.28396E+00
-2.35681E-01,-1.28358E+00
-2.35678E-01,-1.28373E+00
-2.35674E-01,-1.28473E+00
-2.35671E-01,-1.28434E+00
-2.35668E-01,-1.28465E+00
-2.35665E-01,-1.28480E+00
-2.35661E-01,-1.28434E+00
-2.35658E-01,-1.28328E+00
-2.35655E-01,-1.28297E+00
-2.35651E-01,-1.28312E+00
-2.35648E-01,-1.28205E+00
-2.35645E-01,-1.28175E+00
-2.35642E-01,-1.28198E+00
-2.35638E-01,-1.28106E+00
-2.35635E-01,-1.28106E+00
-2.35632E-01,-1.28175E+00
-2.35628E-01,-1.28114E+00
-2.35625E-01,-1.28167E+00
-2.35622E-01,-1.28198E+00
-2.35618E-01,-1.29892E+00
-2.35615E-01,-1.29922E+00
-2.35612E-01,-1.29968E+00
-2.35609E-01,-1.30014E+00
-2.35605E-01,-1.30021E+00
-2.35602E-01,-1.29983E+00
-2.35599E-01,-1.30052E+00
-2.35595E-01,-1.30044E+00
-2.35592E-01,-1.30128E+00
-2.35589E-01,-1.30212E+00
-2.35585E-01,-1.30410E+00
-2.35582E-01,-1.30365E+00
-2.35579E-01,-1.30334E+00
-2.35576E-01,-1.30319E+00
-2.35572E-01,-1.30243E+00
-2.35569E-01,-1.30258E+00
-2.35566E-01,-1.30273E+00
-2.35562E-01,-1.30250E+00
-2.35559E-01,-1.30227E+00
-2.35556E-01,-1.30311E+00
-2.35553E-01,-1.30197E+00
-2.35549E-01,-1.30105E+00
-2.35546E-01,-1.30105E+00
-2.35543E-01,-1.30059E+00
-2.35539E-01,-1.29922E+00
-2.35536E-01,-1.29861E+00
-2.35533E-01,-1.31654E+00
-2.35529E-01,-1.31578E+00
-2.35526E-01,-1.31639E+00
-2.35523E-01,-1.31669E+00
-2.35520E-01,-1.31700E+00
-2.35516E-01,-1.31654E+00
-2.35513E-01,-1.31829E+00
-2.35510E-01,-1.31822E+00
-2.35506E-01,-1.31639E+00
-2.35503E-01,-1.31707E+00
-2.35500E-01,-1.31730E+00
-2.35496E-01,-1.31639E+00
-2.35493E-01,-1.31494E+00
-2.35490E-01,-1.31578E+00
-2.35487E-01,-1.31494E+00
-2.35483E-01,-1.31417E+00
-2.35480E-01,-1.31478E+00
-2.35477E-01,-1.31364E+00
