in s,C1 in V
-2.35730E-01,-3.25252E-01
-2.35727E-01,-3.25252E-01
-2.35724E-01,-3.25023E-01
-2.35721E-01,-3.23727E-01
-2.35717E-01,-3.23955E-01
-2.35714E-01,-3.22430E-01
-2.35711E-01,-3.22964E-01
-2.35707E-01,-3.23192E-01
-2.35704E-01,-3.22658E-01
-2.35701E-01,-3.29983E-01
-2.35698E-01,-3.40511E-01
-2.35694E-01,-3.40893E-01
-2.35691E-01,-3.41503E-01
-2.35688E-01,-3.42647E-01
-2.35684E-01,-3.42724E-01
-2.35681E-01,-3.42571E-01
-2.35678E-01,-3.42953E-01
-2.35674E-01,-3.42266E-01
-2.35671E-01,-3.41656E-01
-2.35668E-01,-3.42190E-01
-2.35665E-01,-3.42495E-01
-2.35661E-01,-3.42266E-01
-2.35658E-01,-3.41427E-01
-2.35655E-01,-3.40816E-01
-2.35651E-01,-3.40359E-01
-2.35648E-01,-3.44021E-01
-2.35645E-01,-3.58211E-01
-2.35642E-01,-3.58059E-01
-2.35638E-01,-3.58059E-01
-2.35635E-01,-3.58440E-01
-2.35632E-01,-3.58669E-01
-2.35628E-01,-3.59127E-01
-2.35625E-01,-3.59051E-01
-2.35622E-01,-3.58974E-01
-2.35618E-01,-3.58974E-01
-2.35615E-01,-3.59432E-01
-2.35612E-01,-3.58288E-01
-2.35609E-01,-3.58211E-01
-2.35605E-01,-3.59051E-01
-2.35602E-01,-3.58211E-01
-2.35599E-01,-3.57677E-01
-2.35595E-01,-3.58135E-01
-2.35592E-01,-3.71334E-01
-2.35589E-01,-3.74996E-01
-2.35585E-01,-3.76217E-01
-2.35582E-01,-3.75835E-01
-2.35579E-01,-3.76064E-01
-2.35576E-01,-3.76293E-01
-2.35572E-01,-3.76674E-01
-2.35569E-01,-3.76674E-01
-2.35566E-01,-3.77132E-01
-2.35562E-01,-3.77743E-01
-2.35559E-01,-3.76827E-01
-2.35556E-01,-3.78582E-01
-2.35553E-01,-3.79040E-01
-2.35549E-01,-3.78658E-01
-2.35546E-01,-3.79192E-01
-2.35543E-01,-3.79116E-01
-2.35539E-01,-3.89797E-01
-2.35536E-01,-3.94527E-01
-2.35533E-01,-3.93993E-01
-2.35529E-01,-3.93459E-01
-2.35526E-01,-3.93230E-01
-2.35523E-01,-3.94146E-01
-2.35520E-01,-3.93078E-01
-2.35516E-01,-3.93917E-01
-2.35513E-01,-3.94680E-01
-2.35510E-01,-3.94375E-01
-2.35506E-01,-3.94756E-01
-2.35503E-01,-3.94680E-01
-2.35500E-01,-3.93535E-01
-2.35496E-01,-3.93307E-01
-2.35493E-01,-3.93764E-01
-2.35490E-01,-3.92849E-01
-2.35487E-01,-3.97198E-01
-2.35483E-01,-4.07879E-01
-2.35480E-01,-4.07879E-01
-2.35477E-01,-4.07268E-01
-2.35473E-01,-4.07802E-01
-2.35470E-01,-4.07726E-01
-2.35467E-01,-4.07726E-01
-2.35464E-01,-4.08184E-01
-2.35460E-01,-4.07421E-01
-2.35457E-01,-4.07039E-01
-2.35454E-01,-4.06734E-01
-2.35450E-01,-4.06887E-01
-2.35447E-01,-4.06887E-01
-2.35444E-01,-4.07039E-01
-2.35440E-01,-4.06887E-01
