in s,C1 in V
-2.35730E-01,-1.63278E+00
-2.35727E-01,-1.63202E+00
-2.35724E-01,-1.63240E+00
-2.35721E-01,-1.63240E+00
-2.35717E-01,-1.63217E+00
-2.35714E-01,-1.63125E+00
-2.35711E-01,-1.63263E+00
-2.35707E-01,-1.63163E+00
-2.35704E-01,-1.63163E+00
-2.35701E-01,-1.63087E+00
-2.35698E-01,-1.63133E+00
-2.35694E-01,-1.63049E+00
-2.35691E-01,-1.63018E+00
-2.35688E-01,-1.63034E+00
-2.35684E-01,-1.62973E+00
-2.35681E-01,-1.63057E+00
-2.35678E-01,-1.64415E+00
-2.35674E-01,-1.64689E+00
-2.35671E-01,-1.64788E+00
-2.35668E-01,-1.64827E+00
-2.35665E-01,-1.64819E+00
-2.35661E-01,-1.64842E+00
-2.35658E-01,-1.64865E+00
-2.35655E-01,-1.64849E+00
-2.35651E-01,-1.64842E+00
-2.35648E-01,-1.64750E+00
-2.35645E-01,-1.64735E+00
-2.35642E-01,-1.64781E+00
-2.35638E-01,-1.64827E+00
-2.35635E-01,-1.64849E+00
-2.35632E-01,-1.64865E+00
-2.35628E-01,-1.64827E+00
-2.35625E-01,-1.64811E+00
-2.35622E-01,-1.64758E+00
-2.35618E-01,-1.64804E+00
-2.35615E-01,-1.64704E+00
-2.35612E-01,-1.64720E+00
-2.35609E-01,-1.64773E+00
-2.35605E-01,-1.64788E+00
-2.35602E-01,-1.64766E+00
-2.35599E-01,-1.64834E+00
-2.35595E-01,-1.64735E+00
-2.35592E-01,-1.64827E+00
-2.35589E-01,-1.64750E+00
-2.35585E-01,-1.64750E+00
-2.35582E-01,-1.64804E+00
-2.35579E-01,-1.64811E+00
-2.35576E-01,-1.64766E+00
-2.35572E-01,-1.65185E+00
-2.35569E-01,-1.66482E+00
-2.35566E-01,-1.66475E+00
-2.35562E-01,-1.66429E+00
-2.35559E-01,-1.66368E+00
-2.35556E-01,-1.66421E+00
-2.35553E-01,-1.66467E+00
-2.35549E-01,-1.66444E+00
-2.35546E-01,-1.66467E+00
-2.35543E-01,-1.66528E+00
-2.35539E-01,-1.66566E+00
-2.35536E-01,-1.66627E+00
-2.35533E-01,-1.66749E+00
-2.35529E-01,-1.66772E+00
-2.35526E-01,-1.66734E+00
-2.35523E-01,-1.66780E+00
-2.35520E-01,-1.66795E+00
-2.35516E-01,-1.66665E+00
-2.35513E-01,-1.66711E+00
-2.35510E-01,-1.66635E+00
-2.35506E-01,-1.66604E+00
-2.35503E-01,-1.66650E+00
