in s,C1 in V
-2.35730E-01,-1.28854E+00
-2.35727E-01,-1.28747E+00
-2.35724E-01,-1.28892E+00
-2.35721E-01,-1.28846E+00
-2.35717E-01,-1.28831E+00
-2.35714E-01,-1.29617E+00
-2.35711E-01,-1.30525E+00
-2.35707E-01,-1.30395E+00
-2.35704E-01,-1.30502E+00
-2.35701E-01,-1.30487E+00
-2.35698E-01,-1.30525E+00
-2.35694E-01,-1.30540E+00
-2.35691E-01,-1.30494E+00
-2.35688E-01,-1.31425E+00
-2.35684E-01,-1.32249E+00
-2.35681E-01,-1.32264E+00
-2.35678E-01,-1.32249E+00
-2.35674E-01,-1.32272E+00
-2.35671E-01,-1.32249E+00
-2.35668E-01,-1.32257E+00
-2.35665E-01,-1.32356E+00
-2.35661E-01,-1.34118E+00
-2.35658E-01,-1.34004E+00
-2.35655E-01,-1.34050E+00
-2.35651E-01,-1.34050E+00
-2.35648E-01,-1.34042E+00
-2.35645E-01,-1.34126E+00
-2.35642E-01,-1.34156E+00
-2.35638E-01,-1.34385E+00
-2.35635E-01,-1.35759E+00
-2.35632E-01,-1.35789E+00
-2.35628E-01,-1.35736E+00
-2.35625E-01,-1.35728E+00
-2.35622E-01,-1.35652E+00
-2.35618E-01,-1.35621E+00
-2.35615E-01,-1.35598E+00
-2.35612E-01,-1.36560E+00
-2.35609E-01,-1.37391E+00
-2.35605E-01,-1.37391E+00
-2.35602E-01,-1.37483E+00
-2.35599E-01,-1.37445E+00
-2.35595E-01,-1.37429E+00
-2.35592E-01,-1.37490E+00
-2.35589E-01,-1.37429E+00
-2.35585E-01,-1.38551E+00
-2.35582E-01,-1.39154E+00
-2.35579E-01,-1.39032E+00
-2.35576E-01,-1.39009E+00
-2.35572E-01,-1.39070E+00
-2.35569E-01,-1.39062E+00
-2.35566E-01,-1.39085E+00
-2.35562E-01,-1.39184E+00
-2.35559E-01,-1.40847E+00
-2.35556E-01,-1.40725E+00
-2.35553E-01,-1.40802E+00
-2.35549E-01,-1.40870E+00
-2.35546E-01,-1.40802E+00
-2.35543E-01,-1.40855E+00
-2.35539E-01,-1.40916E+00
-2.35536E-01,-1.41259E+00
-2.35533E-01,-1.42709E+00
-2.35529E-01,-1.42724E+00
-2.35526E-01,-1.42595E+00
-2.35523E-01,-1.42686E+00
-2.35520E-01,-1.42717E+00
-2.35516E-01,-1.42610E+00
-2.35513E-01,-1.42640E+00
-2.35510E-01,-1.43686E+00
-2.35506E-01,-1.44395E+00
-2.35503E-01,-1.44303E+00
-2.35500E-01,-1.44334E+00
-2.35496E-01,-1.44311E+00
-2.35493E-01,-1.44349E+00
-2.35490E-01,-1.44372E+00
-2.35487E-01,-1.44418E+00
-2.35483E-01,-1.45562E+00
-2.35480E-01,-1.46150E+00
-2.35477E-01,-1.46196E+00
-2.35473E-01,-1.46226E+00
-2.35470E-01,-1.46226E+00
-2.35467E-01,-1.46188E+00
-2.35464E-01,-1.46157E+00
-2.35460E-01,-1.46325E+00
-2.35457E-01,-1.47744E+00
-2.35454E-01,-1.47798E+00
-2.35450E-01,-1.47737E+00
-2.35447E-01,-1.47798E+00
-2.35444E-01,-1.47714E+00
-2.35440E-01,-1.47714E+00
-2.35437E-01,-1.47821E+00
-2.35434E-01,-1.48179E+00
-2.35431E-01,-1.49469E+00
-2.35427E-01,-1.49484E+00
-2.35424E-01,-1.49438E+00
-2.35421E-01,-1.49377E+00
-2.35417E-01,-1.49385E+00
-2.35414E-01,-1.49324E+00
-2.35411E-01,-1.49408E+00
-2.35407E-01,-1.50521E+00
-2.35404E-01,-1.51109E+00
-2.35401E-01,-1.51132E+00
-2.35398E-01,-1.51086E+00
-2.35394E-01,-1.51200E+00
-2.35391E-01,-1.51208E+00
-2.35388E-01,-1.51117E+00
-2.35384E-01,-1.51048E+00
-2.35381E-01,-1.52345E+00
-2.35378E-01,-1.52818E+00
-2.35375E-01,-1.52803E+00
-2.35371E-01,-1.52864E+00
-2.35368E-01,-1.52879E+00
-2.35365E-01,-1.52856E+00
-2.35361E-01,-1.52780E+00
-2.35358E-01,-1.53131E+00
-2.35355E-01,-1.54557E+00
-2.35351E-01,-1.54519E+00
-2.35348E-01,-1.54580E+00
-2.35345E-01,-1.54603E+00
-2.35342E-01,-1.54573E+00
-2.35338E-01,-1.54664E+00
-2.35335E-01,-1.54588E+00
-2.35332E-01,-1.55191E+00
-2.35328E-01,-1.56343E+00
-2.35325E-01,-1.56320E+00
-2.35322E-01,-1.56289E+00
-2.35318E-01,-1.56343E+00
-2.35315E-01,-1.56434E+00
-2.35312E-01,-1.56327E+00
-2.35309E-01,-1.56297E+00
-2.35305E-01,-1.57479E+00
-2.35302E-01,-1.57945E+00
-2.35299E-01,-1.58029E+00
-2.35295E-01,-1.58044E+00
-2.35292E-01,-1.58090E+00
-2.35289E-01,-1.57930E+00
-2.35286E-01,-1.57922E+00
-2.35282E-01,-1.57945E+00
-2.35279E-01,-1.59204E+00
-2.35276E-01,-1.59661E+00
-2.35272E-01,-1.59639E+00
-2.35269E-01,-1.59562E+00
-2.35266E-01,-1.59623E+00
-2.35262E-01,-1.59669E+00
-2.35259E-01,-1.59806E+00
-2.35256E-01,-1.60272E+00
-2.35253E-01,-1.61477E+00
-2.35249E-01,-1.61546E+00
-2.35246E-01,-1.61554E+00
-2.35243E-01,-1.61477E+00
-2.35239E-01,-1.61447E+00
-2.35236E-01,-1.61554E+00
-2.35233E-01,-1.61378E+00
-2.35230E-01,-1.62019E+00
-2.35226E-01,-1.62896E+00
-2.35223E-01,-1.62934E+00
-2.35220E-01,-1.63003E+00
-2.35216E-01,-1.63140E+00
-2.35213E-01,-1.63064E+00
-2.35210E-01,-1.63125E+00
-2.35206E-01,-1.63156E+00
-2.35203E-01,-1.64506E+00
-2.35200E-01,-1.64865E+00
-2.35197E-01,-1.64926E+00
-2.35193E-01,-1.64872E+00
-2.35190E-01,-1.64933E+00
-2.35187E-01,-1.64827E+00
-2.35183E-01,-1.64788E+00
-2.35180E-01,-1.64888E+00
-2.35177E-01,-1.66497E+00
-2.35173E-01,-1.66619E+00
-2.35170E-01,-1.66787E+00
-2.35167E-01,-1.66795E+00
-2.35164E-01,-1.66688E+00
-2.35160E-01,-1.66734E+00
-2.35157E-01,-1.66757E+00
-2.35154E-01,-1.67077E+00
-2.35150E-01,-1.68283E+00
-2.35147E-01,-1.68374E+00
-2.35144E-01,-1.68298E+00
-2.35141E-01,-1.68298E+00
-2.35137E-01,-1.68153E+00
-2.35134E-01,-1.68077E+00
-2.35131E-01,-1.68138E+00
-2.35127E-01,-1.68977E+00
-2.35124E-01,-1.69915E+00
-2.35121E-01,-1.69938E+00
-2.35117E-01,-1.69923E+00
-2.35114E-01,-1.69923E+00
-2.35111E-01,-1.69976E+00
-2.35108E-01,-1.70068E+00
-2.35104E-01,-1.70091E+00
-2.35101E-01,-1.71334E+00
-2.35098E-01,-1.71617E+00
-2.35094E-01,-1.71548E+00
-2.35091E-01,-1.71571E+00
-2.35088E-01,-1.71617E+00
