in s,C1 in V
-2.35730E-01,-1.71823E+00
-2.35727E-01,-1.71785E+00
-2.35724E-01,-1.71731E+00
-2.35721E-01,-1.71670E+00
-2.35717E-01,-1.71640E+00
-2.35714E-01,-1.72471E+00
-2.35711E-01,-1.73288E+00
-2.35707E-01,-1.73310E+00
-2.35704E-01,-1.73211E+00
-2.35701E-01,-1.73257E+00
-2.35698E-01,-1.73227E+00
-2.35694E-01,-1.73417E+00
-2.35691E-01,-1.74951E+00
-2.35688E-01,-1.74943E+00
-2.35684E-01,-1.75035E+00
-2.35681E-01,-1.74951E+00
-2.35678E-01,-1.74867E+00
-2.35674E-01,-1.74874E+00
-2.35671E-01,-1.75683E+00
-2.35668E-01,-1.76538E+00
-2.35665E-01,-1.76553E+00
-2.35661E-01,-1.76530E+00
-2.35658E-01,-1.76530E+00
-2.35655E-01,-1.76461E+00
-2.35651E-01,-1.76393E+00
-2.35648E-01,-1.78102E+00
-2.35645E-01,-1.77995E+00
-2.35642E-01,-1.78056E+00
-2.35638E-01,-1.78003E+00
-2.35635E-01,-1.78071E+00
-2.35632E-01,-1.78125E+00
-2.35628E-01,-1.78727E+00
-2.35625E-01,-1.79940E+00
-2.35622E-01,-1.79887E+00
-2.35618E-01,-1.79918E+00
-2.35615E-01,-1.80070E+00
-2.35612E-01,-1.80032E+00
-2.35609E-01,-1.79902E+00
-2.35605E-01,-1.81672E+00
-2.35602E-01,-1.81726E+00
-2.35599E-01,-1.81688E+00
-2.35595E-01,-1.81665E+00
-2.35592E-01,-1.81749E+00
-2.35589E-01,-1.81619E+00
-2.35585E-01,-1.82428E+00
-2.35582E-01,-1.83351E+00
-2.35579E-01,-1.83404E+00
-2.35576E-01,-1.83450E+00
-2.35572E-01,-1.83366E+00
-2.35569E-01,-1.83343E+00
-2.35566E-01,-1.83335E+00
-2.35562E-01,-1.84991E+00
-2.35559E-01,-1.85121E+00
-2.35556E-01,-1.85105E+00
-2.35553E-01,-1.85197E+00
-2.35549E-01,-1.85235E+00
-2.35546E-01,-1.85258E+00
-2.35543E-01,-1.85662E+00
-2.35539E-01,-1.86952E+00
-2.35536E-01,-1.86944E+00
-2.35533E-01,-1.86944E+00
-2.35529E-01,-1.86952E+00
-2.35526E-01,-1.87020E+00
-2.35523E-01,-1.87051E+00
-2.35520E-01,-1.88485E+00
-2.35516E-01,-1.88745E+00
-2.35513E-01,-1.88737E+00
-2.35510E-01,-1.88714E+00
-2.35506E-01,-1.88668E+00
