in s,C1 in V
-2.35569E-01,-3.00533E-01
-2.35566E-01,-3.05187E-01
-2.35562E-01,-3.18539E-01
-2.35559E-01,-3.18081E-01
-2.35556E-01,-3.17699E-01
-2.35553E-01,-3.25481E-01
-2.35549E-01,-3.34713E-01
-2.35546E-01,-3.34637E-01
-2.35543E-01,-3.34713E-01
-2.35539E-01,-3.40816E-01
-2.35536E-01,-3.49666E-01
-2.35533E-01,-3.49743E-01
-2.35529E-01,-3.49285E-01
-2.35526E-01,-3.57982E-01
-2.35523E-01,-3.64544E-01
-2.35520E-01,-3.64544E-01
-2.35516E-01,-3.63933E-01
-2.35513E-01,-3.71410E-01
-2.35510E-01,-3.81100E-01
-2.35506E-01,-3.81557E-01
-2.35503E-01,-3.81328E-01
-2.35500E-01,-3.93612E-01
-2.35496E-01,-3.98266E-01
-2.35493E-01,-3.98418E-01
-2.35490E-01,-3.98418E-01
-2.35487E-01,-4.10320E-01
-2.35483E-01,-4.15127E-01
-2.35480E-01,-4.15203E-01
-2.35477E-01,-4.15508E-01
-2.35473E-01,-4.29775E-01
-2.35470E-01,-4.31072E-01
-2.35467E-01,-4.30385E-01
-2.35464E-01,-4.29699E-01
-2.35460E-01,-4.43279E-01
-2.35457E-01,-4.46331E-01
-2.35454E-01,-4.46178E-01
-2.35450E-01,-4.47018E-01
-2.35447E-01,-4.62505E-01
-2.35444E-01,-4.62047E-01
-2.35440E-01,-4.61819E-01
-2.35437E-01,-4.61513E-01
-2.35434E-01,-4.78374E-01
-2.35431E-01,-4.78756E-01
-2.35427E-01,-4.79061E-01
-2.35424E-01,-4.80968E-01
-2.35421E-01,-4.96609E-01
-2.35417E-01,-4.97524E-01
-2.35414E-01,-4.98058E-01
-2.35411E-01,-4.97753E-01
-2.35407E-01,-5.15377E-01
-2.35404E-01,-5.14995E-01
-2.35401E-01,-5.14080E-01
-2.35398E-01,-5.18734E-01
-2.35394E-01,-5.29568E-01
-2.35391E-01,-5.29568E-01
-2.35388E-01,-5.29415E-01
-2.35384E-01,-5.34374E-01
-2.35381E-01,-5.45208E-01
-2.35378E-01,-5.45894E-01
-2.35375E-01,-5.44445E-01
