in s,C1 in V
-2.35730E-01,-1.13252E+00
-2.35727E-01,-1.13168E+00
-2.35724E-01,-1.13725E+00
-2.35721E-01,-1.14885E+00
-2.35717E-01,-1.14946E+00
-2.35714E-01,-1.14953E+00
-2.35711E-01,-1.14968E+00
-2.35707E-01,-1.14984E+00
-2.35704E-01,-1.16555E+00
-2.35701E-01,-1.16769E+00
-2.35698E-01,-1.16677E+00
-2.35694E-01,-1.16761E+00
-2.35691E-01,-1.16738E+00
-2.35688E-01,-1.17379E+00
-2.35684E-01,-1.18447E+00
-2.35681E-01,-1.18547E+00
-2.35678E-01,-1.18524E+00
-2.35674E-01,-1.18585E+00
-2.35671E-01,-1.18585E+00
-2.35668E-01,-1.20103E+00
-2.35665E-01,-1.20317E+00
-2.35661E-01,-1.20195E+00
-2.35658E-01,-1.20301E+00
-2.35655E-01,-1.20324E+00
-2.35651E-01,-1.20835E+00
-2.35648E-01,-1.21926E+00
-2.35645E-01,-1.21942E+00
-2.35642E-01,-1.21904E+00
-2.35638E-01,-1.21934E+00
-2.35635E-01,-1.21965E+00
-2.35632E-01,-1.23452E+00
-2.35628E-01,-1.23635E+00
-2.35625E-01,-1.23605E+00
-2.35622E-01,-1.23597E+00
-2.35618E-01,-1.23613E+00
-2.35615E-01,-1.24086E+00
-2.35612E-01,-1.25322E+00
-2.35609E-01,-1.25322E+00
-2.35605E-01,-1.25253E+00
-2.35602E-01,-1.25245E+00
-2.35599E-01,-1.25222E+00
-2.35595E-01,-1.26832E+00
-2.35592E-01,-1.26931E+00
-2.35589E-01,-1.27053E+00
-2.35585E-01,-1.27107E+00
-2.35582E-01,-1.27153E+00
-2.35579E-01,-1.27664E+00
-2.35576E-01,-1.28892E+00
-2.35572E-01,-1.28877E+00
-2.35569E-01,-1.28915E+00
-2.35566E-01,-1.28762E+00
-2.35562E-01,-1.28770E+00
-2.35559E-01,-1.30243E+00
-2.35556E-01,-1.30395E+00
-2.35553E-01,-1.30365E+00
-2.35549E-01,-1.30471E+00
-2.35546E-01,-1.30296E+00
-2.35543E-01,-1.30716E+00
-2.35539E-01,-1.32028E+00
-2.35536E-01,-1.32035E+00
-2.35533E-01,-1.32081E+00
-2.35529E-01,-1.32074E+00
-2.35526E-01,-1.32135E+00
-2.35523E-01,-1.33767E+00
-2.35520E-01,-1.33958E+00
-2.35516E-01,-1.34004E+00
-2.35513E-01,-1.34050E+00
-2.35510E-01,-1.34065E+00
-2.35506E-01,-1.34538E+00
-2.35503E-01,-1.35690E+00
-2.35500E-01,-1.35698E+00
-2.35496E-01,-1.35667E+00
-2.35493E-01,-1.35690E+00
-2.35490E-01,-1.35667E+00
-2.35487E-01,-1.37201E+00
-2.35483E-01,-1.37384E+00
-2.35480E-01,-1.37307E+00
-2.35477E-01,-1.37407E+00
-2.35473E-01,-1.37422E+00
-2.35470E-01,-1.37841E+00
-2.35467E-01,-1.39024E+00
-2.35464E-01,-1.39131E+00
-2.35460E-01,-1.39093E+00
-2.35457E-01,-1.39077E+00
-2.35454E-01,-1.39131E+00
-2.35450E-01,-1.40695E+00
-2.35447E-01,-1.40802E+00
-2.35444E-01,-1.40794E+00
-2.35440E-01,-1.40733E+00
-2.35437E-01,-1.40771E+00
-2.35434E-01,-1.41320E+00
-2.35431E-01,-1.42495E+00
-2.35427E-01,-1.42450E+00
-2.35424E-01,-1.42419E+00
-2.35421E-01,-1.42411E+00
-2.35417E-01,-1.42434E+00
-2.35414E-01,-1.43937E+00
-2.35411E-01,-1.44021E+00
-2.35407E-01,-1.44075E+00
-2.35404E-01,-1.43998E+00
-2.35401E-01,-1.43991E+00
-2.35398E-01,-1.44349E+00
-2.35394E-01,-1.45768E+00
-2.35391E-01,-1.45837E+00
-2.35388E-01,-1.45837E+00
-2.35384E-01,-1.45898E+00
-2.35381E-01,-1.45959E+00
-2.35378E-01,-1.47477E+00
-2.35375E-01,-1.47668E+00
-2.35371E-01,-1.47699E+00
-2.35368E-01,-1.47737E+00
-2.35365E-01,-1.47729E+00
-2.35361E-01,-1.48217E+00
-2.35358E-01,-1.49392E+00
-2.35355E-01,-1.49369E+00
-2.35351E-01,-1.49408E+00
-2.35348E-01,-1.49324E+00
-2.35345E-01,-1.49293E+00
-2.35342E-01,-1.50941E+00
-2.35338E-01,-1.51086E+00
-2.35335E-01,-1.51063E+00
-2.35332E-01,-1.50933E+00
