in s,C1 in V
-2.35730E-01,-5.25143E-01
-2.35727E-01,-5.24837E-01
-2.35724E-01,-5.24914E-01
-2.35721E-01,-5.25066E-01
-2.35717E-01,-5.25371E-01
-2.35714E-01,-5.24761E-01
-2.35711E-01,-5.24837E-01
-2.35707E-01,-5.25371E-01
-2.35704E-01,-5.25753E-01
-2.35701E-01,-5.25753E-01
-2.35698E-01,-5.25143E-01
-2.35694E-01,-5.34069E-01
-2.35691E-01,-5.42843E-01
-2.35688E-01,-5.42919E-01
-2.35684E-01,-5.44292E-01
-2.35681E-01,-5.44521E-01
-2.35678E-01,-5.44674E-01
-2.35674E-01,-5.44903E-01
-2.35671E-01,-5.44369E-01
-2.35668E-01,-5.44750E-01
-2.35665E-01,-5.44521E-01
-2.35661E-01,-5.43529E-01
-2.35658E-01,-5.43453E-01
-2.35655E-01,-5.41927E-01
-2.35651E-01,-5.52532E-01
-2.35648E-01,-5.58483E-01
-2.35645E-01,-5.58559E-01
-2.35642E-01,-5.57567E-01
-2.35638E-01,-5.57949E-01
-2.35635E-01,-5.57262E-01
-2.35632E-01,-5.56576E-01
-2.35628E-01,-5.56881E-01
-2.35625E-01,-5.55965E-01
-2.35622E-01,-5.57033E-01
-2.35618E-01,-5.57720E-01
-2.35615E-01,-5.57873E-01
-2.35612E-01,-5.58712E-01
-2.35609E-01,-5.68096E-01
-2.35605E-01,-5.75115E-01
-2.35602E-01,-5.74810E-01
-2.35599E-01,-5.74352E-01
-2.35595E-01,-5.74962E-01
-2.35592E-01,-5.74734E-01
-2.35589E-01,-5.74581E-01
-2.35585E-01,-5.75039E-01
-2.35582E-01,-5.75039E-01
-2.35579E-01,-5.74123E-01
-2.35576E-01,-5.74352E-01
-2.35572E-01,-5.74352E-01
-2.35569E-01,-5.73742E-01
-2.35566E-01,-5.87017E-01
-2.35562E-01,-5.90145E-01
-2.35559E-01,-5.90221E-01
-2.35556E-01,-5.90679E-01
-2.35553E-01,-5.90374E-01
-2.35549E-01,-5.90603E-01
-2.35546E-01,-5.91137E-01
-2.35543E-01,-5.91213E-01
-2.35539E-01,-5.91366E-01
-2.35536E-01,-5.91823E-01
-2.35533E-01,-5.91442E-01
-2.35529E-01,-5.91289E-01
-2.35526E-01,-5.91366E-01
-2.35523E-01,-6.04259E-01
-2.35520E-01,-6.08227E-01
-2.35516E-01,-6.08074E-01
-2.35513E-01,-6.08990E-01
-2.35510E-01,-6.08837E-01
-2.35506E-01,-6.09447E-01
-2.35503E-01,-6.10439E-01
-2.35500E-01,-6.09981E-01
-2.35496E-01,-6.10515E-01
-2.35493E-01,-6.10134E-01
-2.35490E-01,-6.09753E-01
