in s,C1 in V
-2.35730E-01,-2.14318E+00
-2.35727E-01,-2.14326E+00
-2.35724E-01,-2.14738E+00
-2.35721E-01,-2.16050E+00
-2.35717E-01,-2.16073E+00
-2.35714E-01,-2.15951E+00
-2.35711E-01,-2.15951E+00
-2.35707E-01,-2.15974E+00
-2.35704E-01,-2.15905E+00
-2.35701E-01,-2.15928E+00
-2.35698E-01,-2.15913E+00
-2.35694E-01,-2.15867E+00
-2.35691E-01,-2.16546E+00
-2.35688E-01,-2.17477E+00
-2.35684E-01,-2.17469E+00
-2.35681E-01,-2.17477E+00
-2.35678E-01,-2.17477E+00
-2.35674E-01,-2.17469E+00
-2.35671E-01,-2.17469E+00
-2.35668E-01,-2.17447E+00
-2.35665E-01,-2.17469E+00
-2.35661E-01,-2.17485E+00
-2.35658E-01,-2.18728E+00
-2.35655E-01,-2.19239E+00
-2.35651E-01,-2.19232E+00
-2.35648E-01,-2.19224E+00
-2.35645E-01,-2.19247E+00
-2.35642E-01,-2.19323E+00
-2.35638E-01,-2.19377E+00
-2.35635E-01,-2.19377E+00
-2.35632E-01,-2.19339E+00
-2.35628E-01,-2.19407E+00
-2.35625E-01,-2.20926E+00
-2.35622E-01,-2.21132E+00
-2.35618E-01,-2.21101E+00
-2.35615E-01,-2.21162E+00
-2.35612E-01,-2.21132E+00
-2.35609E-01,-2.21109E+00
-2.35605E-01,-2.21185E+00
-2.35602E-01,-2.21200E+00
-2.35599E-01,-2.21231E+00
-2.35595E-01,-2.21749E+00
-2.35592E-01,-2.22940E+00
-2.35589E-01,-2.22894E+00
-2.35585E-01,-2.22856E+00
-2.35582E-01,-2.22932E+00
-2.35579E-01,-2.22909E+00
-2.35576E-01,-2.22909E+00
-2.35572E-01,-2.22833E+00
-2.35569E-01,-2.22810E+00
-2.35566E-01,-2.22825E+00
-2.35562E-01,-2.23474E+00
-2.35559E-01,-2.24504E+00
-2.35556E-01,-2.24481E+00
-2.35553E-01,-2.24580E+00
-2.35549E-01,-2.24557E+00
-2.35546E-01,-2.24427E+00
-2.35543E-01,-2.24405E+00
-2.35539E-01,-2.24557E+00
-2.35536E-01,-2.24542E+00
-2.35533E-01,-2.24641E+00
-2.35529E-01,-2.25946E+00
-2.35526E-01,-2.26312E+00
-2.35523E-01,-2.26335E+00
-2.35520E-01,-2.26449E+00
-2.35516E-01,-2.26495E+00
-2.35513E-01,-2.26556E+00
-2.35510E-01,-2.26457E+00
-2.35506E-01,-2.26442E+00
-2.35503E-01,-2.26449E+00
-2.35500E-01,-2.26342E+00
-2.35496E-01,-9.81685E-01
-2.35493E-01,-1.29253E-01
-2.35490E-01,-1.30321E-01
-2.35487E-01,-1.28719E-01
-2.35483E-01,-1.28948E-01
-2.35480E-01,-1.27727E-01
-2.35477E-01,-1.26736E-01
-2.35473E-01,-1.26583E-01
-2.35470E-01,-1.26125E-01
-2.35467E-01,-1.31618E-01
-2.35464E-01,-1.43596E-01
-2.35460E-01,-1.41689E-01
-2.35457E-01,-1.42147E-01
-2.35454E-01,-1.41308E-01
-2.35450E-01,-1.42071E-01
-2.35447E-01,-1.41765E-01
-2.35444E-01,-1.41460E-01
-2.35440E-01,-1.41079E-01
-2.35437E-01,-1.41308E-01
-2.35434E-01,-1.49090E-01
-2.35431E-01,-1.57787E-01
-2.35427E-01,-1.58321E-01
-2.35424E-01,-1.57940E-01
-2.35421E-01,-1.57787E-01
-2.35417E-01,-1.58321E-01
-2.35414E-01,-1.57635E-01
-2.35411E-01,-1.57177E-01
-2.35407E-01,-1.57329E-01
-2.35404E-01,-1.56795E-01
-2.35401E-01,-1.71520E-01
