in s,C1 in V
-2.35730E-01,-8.81740E-01
-2.35727E-01,-8.89599E-01
-2.35724E-01,-8.89446E-01
-2.35721E-01,-8.90438E-01
-2.35717E-01,-9.08291E-01
-2.35714E-01,-9.08825E-01
-2.35711E-01,-9.08901E-01
-2.35707E-01,-9.23855E-01
-2.35704E-01,-9.25228E-01
-2.35701E-01,-9.25609E-01
-2.35698E-01,-9.34307E-01
-2.35694E-01,-9.42776E-01
-2.35691E-01,-9.42623E-01
-2.35688E-01,-9.47964E-01
-2.35684E-01,-9.59179E-01
-2.35681E-01,-9.58721E-01
-2.35678E-01,-9.59713E-01
-2.35674E-01,-9.73751E-01
-2.35671E-01,-9.77032E-01
-2.35668E-01,-9.77489E-01
-2.35665E-01,-9.88247E-01
-2.35661E-01,-9.94503E-01
-2.35658E-01,-9.94350E-01
-2.35655E-01,-9.98852E-01
-2.35651E-01,-1.01106E+00
-2.35648E-01,-1.01175E+00
-2.35645E-01,-1.01228E+00
-2.35642E-01,-1.02868E+00
-2.35638E-01,-1.02861E+00
-2.35635E-01,-1.02906E+00
-2.35632E-01,-1.03799E+00
-2.35628E-01,-1.04646E+00
-2.35625E-01,-1.04608E+00
-2.35622E-01,-1.05272E+00
-2.35618E-01,-1.06332E+00
-2.35615E-01,-1.06309E+00
-2.35612E-01,-1.06332E+00
-2.35609E-01,-1.07927E+00
-2.35605E-01,-1.08033E+00
-2.35602E-01,-1.08010E+00
-2.35599E-01,-1.09185E+00
-2.35595E-01,-1.09536E+00
-2.35592E-01,-1.09605E+00
-2.35589E-01,-1.10116E+00
-2.35585E-01,-1.11222E+00
-2.35582E-01,-1.11306E+00
-2.35579E-01,-1.11390E+00
-2.35576E-01,-1.13084E+00
-2.35572E-01,-1.13084E+00
-2.35569E-01,-1.13000E+00
-2.35566E-01,-1.14206E+00
-2.35562E-01,-1.14694E+00
-2.35559E-01,-1.14625E+00
-2.35556E-01,-1.15495E+00
-2.35553E-01,-1.16380E+00
-2.35549E-01,-1.16304E+00
-2.35546E-01,-1.16563E+00
-2.35543E-01,-1.18241E+00
-2.35539E-01,-1.18135E+00
-2.35536E-01,-1.18188E+00
-2.35533E-01,-1.19752E+00
-2.35529E-01,-1.19943E+00
-2.35526E-01,-1.19897E+00
-2.35523E-01,-1.20675E+00
-2.35520E-01,-1.21583E+00
-2.35516E-01,-1.21606E+00
-2.35513E-01,-1.21926E+00
-2.35510E-01,-1.23346E+00
-2.35506E-01,-1.23307E+00
-2.35503E-01,-1.23376E+00
-2.35500E-01,-1.24559E+00
-2.35496E-01,-1.24993E+00
-2.35493E-01,-1.24940E+00
-2.35490E-01,-1.25993E+00
-2.35487E-01,-1.26687E+00
-2.35483E-01,-1.26733E+00
-2.35480E-01,-1.26954E+00
-2.35477E-01,-1.28587E+00
-2.35473E-01,-1.28526E+00
-2.35470E-01,-1.28549E+00
-2.35467E-01,-1.30143E+00
-2.35464E-01,-1.30357E+00
-2.35460E-01,-1.30319E+00
-2.35457E-01,-1.31028E+00
-2.35454E-01,-1.32066E+00
-2.35450E-01,-1.31952E+00
-2.35447E-01,-1.32463E+00
-2.35444E-01,-1.33676E+00
-2.35440E-01,-1.33691E+00
-2.35437E-01,-1.33691E+00
-2.35434E-01,-1.35179E+00
-2.35431E-01,-1.35362E+00
-2.35427E-01,-1.35339E+00
-2.35424E-01,-1.36422E+00
-2.35421E-01,-1.37139E+00
-2.35417E-01,-1.37132E+00
-2.35414E-01,-1.37429E+00
-2.35411E-01,-1.38856E+00
-2.35407E-01,-1.38795E+00
-2.35404E-01,-1.38810E+00
-2.35401E-01,-1.40504E+00
-2.35398E-01,-1.40580E+00
-2.35394E-01,-1.40458E+00
-2.35391E-01,-1.41603E+00
-2.35388E-01,-1.42312E+00
-2.35384E-01,-1.42244E+00
-2.35381E-01,-1.42831E+00
-2.35378E-01,-1.43914E+00
-2.35375E-01,-1.43983E+00
-2.35371E-01,-1.43777E+00
-2.35368E-01,-1.45509E+00
-2.35365E-01,-1.45677E+00
-2.35361E-01,-1.45631E+00
-2.35358E-01,-1.46920E+00
-2.35355E-01,-1.47493E+00
-2.35351E-01,-1.47409E+00
-2.35348E-01,-1.47973E+00
-2.35345E-01,-1.49141E+00
-2.35342E-01,-1.49163E+00
-2.35338E-01,-1.49438E+00
-2.35335E-01,-1.51101E+00
-2.35332E-01,-1.51033E+00
-2.35328E-01,-1.51078E+00
-2.35325E-01,-1.52085E+00
-2.35322E-01,-1.52856E+00
-2.35318E-01,-1.52810E+00
-2.35315E-01,-1.53573E+00
-2.35312E-01,-1.54481E+00
-2.35309E-01,-1.54542E+00
-2.35305E-01,-1.54580E+00
-2.35302E-01,-1.56182E+00
-2.35299E-01,-1.56236E+00
-2.35295E-01,-1.56137E+00
-2.35292E-01,-1.57548E+00
-2.35289E-01,-1.57869E+00
-2.35286E-01,-1.57861E+00
-2.35282E-01,-1.58372E+00
-2.35279E-01,-1.59524E+00
-2.35276E-01,-1.59517E+00
-2.35272E-01,-1.59784E+00
-2.35269E-01,-1.61134E+00
-2.35266E-01,-1.61119E+00
-2.35262E-01,-1.61058E+00
-2.35259E-01,-1.62347E+00
-2.35256E-01,-1.62713E+00
-2.35253E-01,-1.62675E+00
-2.35249E-01,-1.63629E+00
-2.35246E-01,-1.64293E+00
-2.35243E-01,-1.64323E+00
-2.35239E-01,-1.64415E+00
-2.35236E-01,-1.66009E+00
-2.35233E-01,-1.66001E+00
-2.35230E-01,-1.66063E+00
-2.35226E-01,-1.67619E+00
-2.35223E-01,-1.67672E+00
-2.35220E-01,-1.67718E+00
-2.35216E-01,-1.68550E+00
-2.35213E-01,-1.69381E+00
-2.35210E-01,-1.69458E+00
-2.35206E-01,-1.69984E+00
-2.35203E-01,-1.71228E+00
-2.35200E-01,-1.71281E+00
-2.35197E-01,-1.71334E+00
-2.35193E-01,-1.72677E+00
-2.35190E-01,-1.72937E+00
-2.35187E-01,-1.72960E+00
-2.35183E-01,-1.74043E+00
-2.35180E-01,-1.74623E+00
-2.35177E-01,-1.74592E+00
-2.35173E-01,-1.74943E+00
-2.35170E-01,-1.76248E+00
-2.35167E-01,-1.76362E+00
-2.35164E-01,-1.76439E+00
-2.35160E-01,-1.78224E+00
-2.35157E-01,-1.78231E+00
-2.35154E-01,-1.78361E+00
-2.35150E-01,-1.79322E+00
-2.35147E-01,-1.80223E+00
-2.35144E-01,-1.80276E+00
-2.35141E-01,-1.80947E+00
-2.35137E-01,-1.81970E+00
-2.35134E-01,-1.81924E+00
-2.35131E-01,-1.81939E+00
-2.35127E-01,-1.83549E+00
-2.35124E-01,-1.83526E+00
-2.35121E-01,-1.83618E+00
-2.35117E-01,-1.84846E+00
-2.35114E-01,-1.85258E+00
-2.35111E-01,-1.85266E+00
-2.35108E-01,-1.85624E+00
-2.35104E-01,-1.86906E+00
-2.35101E-01,-1.86883E+00
-2.35098E-01,-1.87051E+00
-2.35094E-01,-1.88607E+00
-2.35091E-01,-1.88470E+00
-2.35088E-01,-1.88447E+00
-2.35084E-01,-1.89622E+00
-2.35081E-01,-1.90126E+00
-2.35078E-01,-1.90171E+00
-2.35075E-01,-1.90927E+00
