in s,C1 in V
-2.35730E-01,-6.25316E-01
-2.35727E-01,-6.44314E-01
-2.35724E-01,-6.42406E-01
-2.35721E-01,-6.42330E-01
-2.35717E-01,-6.41262E-01
-2.35714E-01,-6.45916E-01
-2.35711E-01,-6.59115E-01
-2.35707E-01,-6.58733E-01
-2.35704E-01,-6.58275E-01
-2.35701E-01,-6.57818E-01
-2.35698E-01,-6.61709E-01
-2.35694E-01,-6.75442E-01
-2.35691E-01,-6.76128E-01
-2.35688E-01,-6.75899E-01
-2.35684E-01,-6.75670E-01
-2.35681E-01,-6.81698E-01
-2.35678E-01,-6.91768E-01
-2.35674E-01,-6.92455E-01
-2.35671E-01,-6.92379E-01
-2.35668E-01,-6.92150E-01
-2.35665E-01,-6.98330E-01
-2.35661E-01,-7.09926E-01
-2.35658E-01,-7.09926E-01
-2.35655E-01,-7.11147E-01
-2.35651E-01,-7.11300E-01
-2.35648E-01,-7.19005E-01
-2.35645E-01,-7.26253E-01
-2.35642E-01,-7.27245E-01
-2.35638E-01,-7.26406E-01
-2.35635E-01,-7.26787E-01
-2.35632E-01,-7.35332E-01
-2.35628E-01,-7.44106E-01
-2.35625E-01,-7.43343E-01
-2.35622E-01,-7.43648E-01
-2.35618E-01,-7.44411E-01
-2.35615E-01,-7.54711E-01
-2.35612E-01,-7.61577E-01
-2.35609E-01,-7.61730E-01
-2.35605E-01,-7.60357E-01
-2.35602E-01,-7.60509E-01
-2.35599E-01,-7.68902E-01
-2.35595E-01,-7.76150E-01
-2.35592E-01,-7.75692E-01
-2.35589E-01,-7.75692E-01
-2.35585E-01,-7.75387E-01
-2.35582E-01,-7.88433E-01
-2.35579E-01,-7.91637E-01
-2.35576E-01,-7.91561E-01
-2.35572E-01,-7.91408E-01
-2.35569E-01,-7.91790E-01
-2.35566E-01,-8.05752E-01
-2.35562E-01,-8.10100E-01
-2.35559E-01,-8.10863E-01
-2.35556E-01,-8.10787E-01
-2.35553E-01,-8.11169E-01
-2.35549E-01,-8.26275E-01
-2.35546E-01,-8.27572E-01
-2.35543E-01,-8.27495E-01
-2.35539E-01,-8.27724E-01
-2.35536E-01,-8.28106E-01
-2.35533E-01,-8.42831E-01
-2.35529E-01,-8.45730E-01
-2.35526E-01,-8.45348E-01
-2.35523E-01,-8.44738E-01
-2.35520E-01,-8.45959E-01
-2.35516E-01,-8.62667E-01
-2.35513E-01,-8.61599E-01
-2.35510E-01,-8.62209E-01
-2.35506E-01,-8.62514E-01
-2.35503E-01,-8.61904E-01
-2.35500E-01,-8.78841E-01
-2.35496E-01,-8.78460E-01
-2.35493E-01,-8.78841E-01
-2.35490E-01,-8.78002E-01
-2.35487E-01,-8.83266E-01
-2.35483E-01,-8.95702E-01
