in s,C1 in V
-2.35730E-01,-2.10344E+00
-2.35727E-01,-2.10664E+00
-2.35724E-01,-2.11915E+00
-2.35721E-01,-2.11923E+00
-2.35717E-01,-2.11946E+00
-2.35714E-01,-2.11915E+00
-2.35711E-01,-2.11869E+00
-2.35707E-01,-2.11946E+00
-2.35704E-01,-2.11961E+00
-2.35701E-01,-2.11991E+00
-2.35698E-01,-2.12007E+00
-2.35694E-01,-2.12129E+00
-2.35691E-01,-2.12045E+00
-2.35688E-01,-2.12144E+00
-2.35684E-01,-2.12152E+00
-2.35681E-01,-2.12136E+00
-2.35678E-01,-2.13350E+00
-2.35674E-01,-2.13838E+00
-2.35671E-01,-2.13807E+00
-2.35668E-01,-2.13762E+00
-2.35665E-01,-2.13792E+00
-2.35661E-01,-2.13716E+00
-2.35658E-01,-2.13739E+00
-2.35655E-01,-2.13762E+00
-2.35651E-01,-2.13754E+00
-2.35648E-01,-2.13853E+00
-2.35645E-01,-2.13830E+00
-2.35642E-01,-2.13777E+00
-2.35638E-01,-2.13769E+00
-2.35635E-01,-2.13754E+00
-2.35632E-01,-2.13815E+00
-2.35628E-01,-2.15501E+00
-2.35625E-01,-2.15425E+00
-2.35622E-01,-2.15402E+00
-2.35618E-01,-2.15341E+00
-2.35615E-01,-2.15303E+00
-2.35612E-01,-2.15249E+00
-2.35609E-01,-2.15348E+00
-2.35605E-01,-2.15394E+00
-2.35602E-01,-2.15333E+00
-2.35599E-01,-2.15242E+00
-2.35595E-01,-2.15188E+00
-2.35592E-01,-2.15150E+00
-2.35589E-01,-2.15150E+00
-2.35585E-01,-2.15135E+00
-2.35582E-01,-2.16455E+00
-2.35579E-01,-2.16897E+00
-2.35576E-01,-2.16897E+00
-2.35572E-01,-2.16912E+00
-2.35569E-01,-2.16920E+00
-2.35566E-01,-2.16966E+00
-2.35562E-01,-2.16943E+00
-2.35559E-01,-2.16928E+00
-2.35556E-01,-2.16882E+00
-2.35553E-01,-2.16882E+00
-2.35549E-01,-2.16874E+00
-2.35546E-01,-2.16905E+00
-2.35543E-01,-2.16951E+00
-2.35539E-01,-2.16928E+00
-2.35536E-01,-2.17172E+00
-2.35533E-01,-2.18728E+00
-2.35529E-01,-2.18873E+00
-2.35526E-01,-2.18850E+00
-2.35523E-01,-2.18949E+00
-2.35520E-01,-2.18934E+00
-2.35516E-01,-2.18866E+00
-2.35513E-01,-2.18896E+00
-2.35510E-01,-2.18858E+00
-2.35506E-01,-2.18759E+00
-2.35503E-01,-2.18713E+00
-2.35500E-01,-2.18721E+00
-2.35496E-01,-2.18690E+00
-2.35493E-01,-2.18797E+00
-2.35490E-01,-2.18728E+00
-2.35487E-01,-2.19941E+00
-2.35483E-01,-2.20475E+00
-2.35480E-01,-2.20514E+00
-2.35477E-01,-2.20483E+00
-2.35473E-01,-2.20590E+00
-2.35470E-01,-2.20582E+00
-2.35467E-01,-2.20544E+00
-2.35464E-01,-2.20483E+00
-2.35460E-01,-2.20452E+00
-2.35457E-01,-2.20521E+00
-2.35454E-01,-2.20491E+00
-2.35450E-01,-2.20475E+00
-2.35447E-01,-2.20452E+00
-2.35444E-01,-2.20514E+00
-2.35440E-01,-2.20414E+00
-2.35437E-01,-2.22230E+00
-2.35434E-01,-2.22253E+00
-2.35431E-01,-2.22253E+00
-2.35427E-01,-2.22291E+00
-2.35424E-01,-2.22291E+00
-2.35421E-01,-2.22383E+00
-2.35417E-01,-2.22367E+00
-2.35414E-01,-2.22360E+00
-2.35411E-01,-2.22421E+00
-2.35407E-01,-2.22428E+00
-2.35404E-01,-2.22413E+00
-2.35401E-01,-2.22482E+00
-2.35398E-01,-2.22490E+00
-2.35394E-01,-2.22551E+00
-2.35391E-01,-2.23619E+00
-2.35388E-01,-2.24168E+00
-2.35384E-01,-2.24069E+00
-2.35381E-01,-2.24122E+00
-2.35378E-01,-2.24130E+00
-2.35375E-01,-2.24054E+00
-2.35371E-01,-2.24115E+00
-2.35368E-01,-2.24168E+00
-2.35365E-01,-2.24145E+00
-2.35361E-01,-2.24199E+00
-2.35358E-01,-2.24260E+00
-2.35355E-01,-2.24282E+00
-2.35351E-01,-2.24214E+00
-2.35348E-01,-2.24267E+00
-2.35345E-01,-2.24267E+00
-2.35342E-01,-2.25839E+00
-2.35338E-01,-2.25892E+00
-2.35335E-01,-2.25946E+00
-2.35332E-01,-2.25900E+00
-2.35328E-01,-2.25869E+00
-2.35325E-01,-2.25854E+00
-2.35322E-01,-2.25846E+00
-2.35318E-01,-2.25854E+00
-2.35315E-01,-2.25816E+00
-2.35312E-01,-2.25854E+00
-2.35309E-01,-2.25862E+00
-2.35305E-01,-2.25854E+00
-2.35302E-01,-2.25953E+00
-2.35299E-01,-2.25908E+00
-2.35295E-01,-2.26861E+00
-2.35292E-01,-2.27540E+00
-2.35289E-01,-2.27517E+00
-2.35286E-01,-2.27464E+00
-2.35282E-01,-2.27342E+00
-2.35279E-01,-2.27304E+00
-2.35276E-01,-2.27319E+00
