in s,C1 in V
-2.35730E-01,-1.42450E+00
-2.35727E-01,-1.42778E+00
-2.35724E-01,-1.44204E+00
-2.35721E-01,-1.44090E+00
-2.35717E-01,-1.44784E+00
-2.35714E-01,-1.45822E+00
-2.35711E-01,-1.45738E+00
-2.35707E-01,-1.47355E+00
-2.35704E-01,-1.47554E+00
-2.35701E-01,-1.47714E+00
-2.35698E-01,-1.49354E+00
-2.35694E-01,-1.49354E+00
-2.35691E-01,-1.50354E+00
-2.35688E-01,-1.50964E+00
-2.35684E-01,-1.50941E+00
-2.35681E-01,-1.52284E+00
-2.35678E-01,-1.52650E+00
-2.35674E-01,-1.53100E+00
-2.35671E-01,-1.54351E+00
-2.35668E-01,-1.54252E+00
-2.35665E-01,-1.55107E+00
-2.35661E-01,-1.55885E+00
-2.35658E-01,-1.55915E+00
-2.35655E-01,-1.57479E+00
-2.35651E-01,-1.57617E+00
-2.35648E-01,-1.57769E+00
-2.35645E-01,-1.59341E+00
-2.35642E-01,-1.59257E+00
-2.35638E-01,-1.60470E+00
-2.35635E-01,-1.60958E+00
-2.35632E-01,-1.61020E+00
-2.35628E-01,-1.62484E+00
-2.35625E-01,-1.62660E+00
-2.35622E-01,-1.63278E+00
-2.35618E-01,-1.64361E+00
-2.35615E-01,-1.64453E+00
-2.35612E-01,-1.65384E+00
-2.35609E-01,-1.66162E+00
-2.35605E-01,-1.66299E+00
-2.35602E-01,-1.67825E+00
-2.35599E-01,-1.67794E+00
-2.35595E-01,-1.68344E+00
-2.35592E-01,-1.69404E+00
-2.35589E-01,-1.69336E+00
-2.35585E-01,-1.70518E+00
-2.35582E-01,-1.70930E+00
-2.35579E-01,-1.71022E+00
-2.35576E-01,-1.72822E+00
-2.35572E-01,-1.72868E+00
-2.35569E-01,-1.73616E+00
-2.35566E-01,-1.74592E+00
-2.35562E-01,-1.74585E+00
-2.35559E-01,-1.75790E+00
-2.35556E-01,-1.76377E+00
-2.35553E-01,-1.76461E+00
-2.35549E-01,-1.78163E+00
-2.35546E-01,-1.78041E+00
-2.35543E-01,-1.78498E+00
-2.35539E-01,-1.79864E+00
-2.35536E-01,-1.79795E+00
-2.35533E-01,-1.81161E+00
-2.35529E-01,-1.81535E+00
-2.35526E-01,-1.81642E+00
-2.35523E-01,-1.83267E+00
-2.35520E-01,-1.83213E+00
-2.35516E-01,-1.84121E+00
-2.35513E-01,-1.85006E+00
-2.35510E-01,-1.85113E+00
-2.35506E-01,-1.86151E+00
-2.35503E-01,-1.86807E+00
-2.35500E-01,-1.87036E+00
-2.35496E-01,-1.88356E+00
-2.35493E-01,-1.88417E+00
-2.35490E-01,-1.89172E+00
-2.35487E-01,-1.90095E+00
-2.35483E-01,-1.90240E+00
-2.35480E-01,-1.91583E+00
-2.35477E-01,-1.91850E+00
-2.35473E-01,-1.91934E+00
-2.35470E-01,-1.93612E+00
-2.35467E-01,-1.93521E+00
-2.35464E-01,-1.94413E+00
-2.35460E-01,-1.95176E+00
-2.35457E-01,-1.95268E+00
-2.35454E-01,-1.96641E+00
-2.35450E-01,-1.97007E+00
-2.35447E-01,-1.97541E+00
-2.35444E-01,-1.98739E+00
-2.35440E-01,-1.98777E+00
-2.35437E-01,-1.99563E+00
-2.35434E-01,-2.00494E+00
-2.35431E-01,-2.00486E+00
-2.35427E-01,-2.02073E+00
-2.35424E-01,-2.02119E+00
-2.35421E-01,-2.02401E+00
-2.35417E-01,-2.03736E+00
-2.35414E-01,-2.03798E+00
-2.35411E-01,-2.04934E+00
-2.35407E-01,-2.05583E+00
-2.35404E-01,-2.05537E+00
-2.35401E-01,-2.06910E+00
-2.35398E-01,-2.07170E+00
-2.35394E-01,-2.07719E+00
-2.35391E-01,-2.08886E+00
-2.35388E-01,-2.08879E+00
-2.35384E-01,-2.09802E+00
-2.35381E-01,-2.10595E+00
-2.35378E-01,-2.10519E+00
-2.35375E-01,-2.12144E+00
-2.35371E-01,-2.12136E+00
-2.35368E-01,-2.12457E+00
-2.35365E-01,-2.13906E+00
-2.35361E-01,-2.13899E+00
-2.35358E-01,-2.15120E+00
-2.35355E-01,-2.15661E+00
-2.35351E-01,-2.15547E+00
-2.35348E-01,-2.17218E+00
-2.35345E-01,-2.17401E+00
-2.35342E-01,-2.18019E+00
-2.35338E-01,-2.19133E+00
-2.35335E-01,-2.19300E+00
-2.35332E-01,-2.20208E+00
-2.35328E-01,-2.20948E+00
-2.35325E-01,-2.21055E+00
-2.35322E-01,-2.22634E+00
-2.35318E-01,-2.22566E+00
-2.35315E-01,-2.23046E+00
-2.35312E-01,-2.24092E+00
-2.35309E-01,-2.24099E+00
-2.35305E-01,-2.25297E+00
-2.35302E-01,-2.25633E+00
-2.35299E-01,-2.22894E+00
-2.35295E-01,-7.69741E-01
-2.35292E-01,-1.24599E-01
-2.35289E-01,-1.28261E-01
-2.35286E-01,-1.35738E-01
-2.35282E-01,-1.34441E-01
-2.35279E-01,-1.47793E-01
-2.35276E-01,-1.51531E-01
-2.35272E-01,-1.54507E-01
-2.35269E-01,-1.68926E-01
-2.35266E-01,-1.67782E-01
-2.35262E-01,-1.74724E-01
-2.35259E-01,-1.84261E-01
-2.35256E-01,-1.84643E-01
-2.35253E-01,-1.99138E-01
-2.35249E-01,-2.00283E-01
-2.35246E-01,-2.02190E-01
-2.35243E-01,-2.16915E-01
-2.35239E-01,-2.16305E-01
-2.35236E-01,-2.25536E-01
-2.35233E-01,-2.32250E-01
-2.35230E-01,-2.31106E-01
-2.35226E-01,-2.44610E-01
-2.35223E-01,-2.48424E-01
-2.35220E-01,-2.52239E-01
-2.35216E-01,-2.64980E-01
-2.35213E-01,-2.65667E-01
-2.35210E-01,-2.74288E-01
-2.35206E-01,-2.82680E-01
-2.35203E-01,-2.82604E-01
-2.35200E-01,-2.98626E-01
-2.35197E-01,-2.99541E-01
-2.35193E-01,-3.02135E-01
-2.35190E-01,-3.17242E-01
-2.35187E-01,-3.15716E-01
-2.35183E-01,-3.25252E-01
-2.35180E-01,-3.32043E-01
-2.35177E-01,-3.31051E-01
-2.35173E-01,-3.45623E-01
-2.35170E-01,-3.46996E-01
-2.35167E-01,-3.53786E-01
-2.35164E-01,-3.64086E-01
-2.35160E-01,-3.64467E-01
-2.35157E-01,-3.73623E-01
-2.35154E-01,-3.81710E-01
-2.35150E-01,-3.81557E-01
-2.35147E-01,-3.98723E-01
-2.35144E-01,-3.98189E-01
-2.35141E-01,-4.02996E-01
-2.35137E-01,-4.13448E-01
-2.35134E-01,-4.14974E-01
-2.35131E-01,-4.26113E-01
-2.35127E-01,-4.31606E-01
-2.35124E-01,-4.30538E-01
-2.35121E-01,-4.47170E-01
-2.35117E-01,-4.47704E-01
-2.35114E-01,-4.54571E-01
-2.35111E-01,-4.64107E-01
-2.35108E-01,-4.63955E-01
-2.35104E-01,-4.74254E-01
-2.35101E-01,-4.79519E-01
-2.35098E-01,-4.80663E-01
-2.35094E-01,-4.97372E-01
-2.35091E-01,-4.96303E-01
-2.35088E-01,-5.01339E-01
-2.35084E-01,-5.13698E-01
-2.35081E-01,-5.13851E-01
-2.35078E-01,-5.27737E-01
-2.35075E-01,-5.31017E-01
-2.35071E-01,-5.31017E-01
-2.35068E-01,-5.48412E-01
-2.35065E-01,-5.47726E-01
-2.35061E-01,-5.55279E-01
-2.35058E-01,-5.63900E-01
-2.35055E-01,-5.64205E-01
-2.35052E-01,-5.76488E-01
-2.35048E-01,-5.80913E-01
-2.35045E-01,-5.83126E-01
-2.35042E-01,-5.97774E-01
-2.35038E-01,-5.97011E-01
-2.35035E-01,-6.04030E-01
-2.35032E-01,-6.13949E-01
-2.35028E-01,-6.13720E-01
-2.35025E-01,-6.26919E-01
-2.35022E-01,-6.28902E-01
-2.35019E-01,-6.29970E-01
-2.35015E-01,-6.44695E-01
-2.35012E-01,-6.44924E-01
-2.35009E-01,-6.53545E-01
-2.35005E-01,-6.60641E-01
-2.35002E-01,-6.61785E-01
-2.34999E-01,-6.74679E-01
-2.34995E-01,-6.78264E-01
-2.34992E-01,-6.81698E-01
-2.34989E-01,-6.95812E-01
-2.34986E-01,-6.96117E-01
-2.34982E-01,-7.03365E-01
-2.34979E-01,-7.12139E-01
-2.34976E-01,-7.12520E-01
-2.34972E-01,-7.27856E-01
-2.34969E-01,-7.28542E-01
-2.34966E-01,-7.30984E-01
-2.34963E-01,-7.45479E-01
-2.34959E-01,-7.44640E-01
-2.34956E-01,-7.55016E-01
-2.34953E-01,-7.61806E-01
-2.34949E-01,-7.61959E-01
-2.34946E-01,-7.75387E-01
-2.34943E-01,-7.79278E-01
-2.34939E-01,-7.85305E-01
-2.34936E-01,-7.96673E-01
-2.34933E-01,-7.96291E-01
-2.34930E-01,-8.06133E-01
-2.34926E-01,-8.14754E-01
-2.34923E-01,-8.14297E-01
-2.34920E-01,-8.30395E-01
-2.34916E-01,-8.30547E-01
-2.34913E-01,-8.33446E-01
-2.34910E-01,-8.47637E-01
-2.34906E-01,-8.46645E-01
-2.34903E-01,-8.58013E-01
-2.34900E-01,-8.62972E-01
-2.34897E-01,-8.62591E-01
-2.34893E-01,-8.78689E-01
-2.34890E-01,-8.78918E-01
-2.34887E-01,-8.85631E-01
-2.34883E-01,-8.95321E-01
-2.34880E-01,-8.95855E-01
-2.34877E-01,-9.04781E-01
-2.34874E-01,-9.12639E-01
-2.34870E-01,-9.13402E-01
-2.34867E-01,-9.29119E-01
-2.34864E-01,-9.29653E-01
-2.34860E-01,-9.35375E-01
-2.34857E-01,-9.45751E-01
-2.34854E-01,-9.47201E-01
-2.34850E-01,-9.58340E-01
-2.34847E-01,-9.63375E-01
-2.34844E-01,-9.63299E-01
-2.34841E-01,-9.80770E-01
-2.34837E-01,-9.81151E-01
-2.34834E-01,-9.88628E-01
-2.34831E-01,-9.98394E-01
-2.34827E-01,-9.98623E-01
-2.34824E-01,-1.01113E+00
-2.34821E-01,-1.01609E+00
-2.34818E-01,-1.01808E+00
-2.34814E-01,-1.03364E+00
-2.34811E-01,-1.03257E+00
-2.34808E-01,-1.03845E+00
-2.34804E-01,-1.05043E+00
-2.34801E-01,-1.05027E+00
-2.34798E-01,-1.06401E+00
-2.34794E-01,-1.06683E+00
-2.34791E-01,-1.06675E+00
-2.34788E-01,-1.08331E+00
-2.34785E-01,-1.08247E+00
-2.34781E-01,-1.09101E+00
-2.34778E-01,-1.09895E+00
-2.34775E-01,-1.09956E+00
-2.34771E-01,-1.11024E+00
-2.34768E-01,-1.11703E+00
-2.34765E-01,-1.11924E+00
-2.34761E-01,-1.13298E+00
-2.34758E-01,-1.13351E+00
-2.34755E-01,-1.14061E+00
-2.34752E-01,-1.15030E+00
-2.34748E-01,-1.15098E+00
-2.34745E-01,-1.16563E+00
-2.34742E-01,-1.16807E+00
-2.34738E-01,-1.17196E+00
-2.34735E-01,-1.18470E+00
-2.34732E-01,-1.18478E+00
-2.34729E-01,-1.19462E+00
-2.34725E-01,-1.20080E+00
-2.34722E-01,-1.20111E+00
-2.34719E-01,-1.21453E+00
-2.34715E-01,-1.21759E+00
-2.34712E-01,-1.22171E+00
-2.34709E-01,-1.23368E+00
-2.34705E-01,-1.23346E+00
-2.34702E-01,-1.24147E+00
-2.34699E-01,-1.24986E+00
-2.34696E-01,-1.25123E+00
-2.34692E-01,-1.26680E+00
-2.34689E-01,-1.26695E+00
-2.34686E-01,-1.27008E+00
-2.34682E-01,-1.28457E+00
-2.34679E-01,-1.28419E+00
-2.34676E-01,-1.29564E+00
-2.34672E-01,-1.29998E+00
-2.34669E-01,-1.30014E+00
-2.34666E-01,-1.31425E+00
-2.34663E-01,-1.31784E+00
-2.34659E-01,-1.32295E+00
-2.34656E-01,-1.33424E+00
-2.34653E-01,-1.33447E+00
-2.34649E-01,-1.34538E+00
-2.34646E-01,-1.35316E+00
-2.34643E-01,-1.35308E+00
-2.34640E-01,-1.37025E+00
-2.34636E-01,-1.37056E+00
-2.34633E-01,-1.37376E+00
-2.34630E-01,-1.38696E+00
-2.34626E-01,-1.38765E+00
-2.34623E-01,-1.39993E+00
-2.34620E-01,-1.40535E+00
-2.34616E-01,-1.40573E+00
-2.34613E-01,-1.42244E+00
-2.34610E-01,-1.42259E+00
-2.34607E-01,-1.42968E+00
-2.34603E-01,-1.43907E+00
-2.34600E-01,-1.43975E+00
-2.34597E-01,-1.44906E+00
-2.34593E-01,-1.45623E+00
-2.34590E-01,-1.45799E+00
-2.34587E-01,-1.47256E+00
-2.34583E-01,-1.47241E+00
-2.34580E-01,-1.47798E+00
-2.34577E-01,-1.48874E+00
-2.34574E-01,-1.48935E+00
-2.34570E-01,-1.50384E+00
-2.34567E-01,-1.50758E+00
-2.34564E-01,-1.50834E+00
-2.34560E-01,-1.52650E+00
-2.34557E-01,-1.52612E+00
-2.34554E-01,-1.53527E+00
-2.34551E-01,-1.54435E+00
-2.34547E-01,-1.54435E+00
-2.34544E-01,-1.55641E+00
-2.34541E-01,-1.56060E+00
-2.34537E-01,-1.56282E+00
-2.34534E-01,-1.57785E+00
-2.34531E-01,-1.57708E+00
-2.34527E-01,-1.58326E+00
-2.34524E-01,-1.59478E+00
-2.34521E-01,-1.59394E+00
-2.34518E-01,-1.60844E+00
-2.34514E-01,-1.61065E+00
-2.34511E-01,-1.61172E+00
-2.34508E-01,-1.62774E+00
-2.34504E-01,-1.62721E+00
-2.34501E-01,-1.63652E+00
-2.34498E-01,-1.64315E+00
-2.34494E-01,-1.64376E+00
-2.34491E-01,-1.65719E+00
-2.34488E-01,-1.66093E+00
-2.34485E-01,-1.66459E+00
-2.34481E-01,-1.67810E+00
-2.34478E-01,-1.67817E+00
-2.34475E-01,-1.68565E+00
-2.34471E-01,-1.69503E+00
-2.34468E-01,-1.69542E+00
-2.34465E-01,-1.71022E+00
-2.34462E-01,-1.71197E+00
-2.34458E-01,-1.71426E+00
-2.34455E-01,-1.72860E+00
-2.34452E-01,-1.72960E+00
-2.34448E-01,-1.74028E+00
-2.34445E-01,-1.74661E+00
-2.34442E-01,-1.74615E+00
-2.34438E-01,-1.76057E+00
-2.34435E-01,-1.76385E+00
-2.34432E-01,-1.76957E+00
-2.34429E-01,-1.78147E+00
-2.34425E-01,-1.78277E+00
-2.34422E-01,-1.79177E+00
-2.34419E-01,-1.79963E+00
-2.34415E-01,-1.80124E+00
-2.34412E-01,-1.81726E+00
-2.34409E-01,-1.81733E+00
-2.34406E-01,-1.82229E+00
-2.34402E-01,-1.83366E+00
-2.34399E-01,-1.83335E+00
-2.34396E-01,-1.84526E+00
-2.34392E-01,-1.85075E+00
-2.34389E-01,-1.84938E+00
-2.34386E-01,-1.86540E+00
-2.34382E-01,-1.86670E+00
-2.34379E-01,-1.87288E+00
-2.34376E-01,-1.88279E+00
-2.34373E-01,-1.88279E+00
-2.34369E-01,-1.89332E+00
-2.34366E-01,-1.89912E+00
-2.34363E-01,-1.90057E+00
-2.34359E-01,-1.91568E+00
-2.34356E-01,-1.91499E+00
-2.34353E-01,-1.91972E+00
-2.34349E-01,-1.93246E+00
-2.34346E-01,-1.93299E+00
-2.34343E-01,-1.94558E+00
-2.34340E-01,-1.95069E+00
-2.34336E-01,-1.95062E+00
-2.34333E-01,-1.96801E+00
-2.34330E-01,-1.96679E+00
-2.34326E-01,-1.97511E+00
-2.34323E-01,-1.98381E+00
-2.34320E-01,-1.98320E+00
-2.34317E-01,-1.99372E+00
-2.34313E-01,-2.00097E+00
-2.34310E-01,-2.00364E+00
-2.34307E-01,-2.01776E+00
-2.34303E-01,-2.01791E+00
-2.34300E-01,-2.02424E+00
-2.34297E-01,-2.03317E+00
-2.34293E-01,-2.03386E+00
-2.34290E-01,-2.04774E+00
-2.34287E-01,-2.05102E+00
-2.34284E-01,-2.05278E+00
-2.34280E-01,-2.06971E+00
-2.34277E-01,-2.07025E+00
-2.34274E-01,-2.07902E+00
-2.34270E-01,-2.08764E+00
-2.34267E-01,-2.08871E+00
-2.34264E-01,-2.10145E+00
-2.34260E-01,-2.10580E+00
-2.34257E-01,-2.11000E+00
-2.34254E-01,-2.12228E+00
-2.34251E-01,-2.12312E+00
-2.34247E-01,-2.12976E+00
-2.34244E-01,-2.14074E+00
