in s,C1 in V
-2.35730E-01,-1.94192E+00
-2.35727E-01,-1.94123E+00
-2.35724E-01,-1.94383E+00
-2.35721E-01,-2.01616E+00
-2.35717E-01,-2.01524E+00
-2.35714E-01,-2.01509E+00
-2.35711E-01,-2.01471E+00
-2.35707E-01,-2.01524E+00
-2.35704E-01,-2.01371E+00
-2.35701E-01,-2.01348E+00
-2.35698E-01,-2.01379E+00
-2.35694E-01,-2.01402E+00
-2.35691E-01,-2.01410E+00
-2.35688E-01,-2.01455E+00
-2.35684E-01,-2.01455E+00
-2.35681E-01,-2.01524E+00
-2.35678E-01,-2.01593E+00
-2.35674E-01,-2.01654E+00
-2.35671E-01,-2.01547E+00
-2.35668E-01,-2.01547E+00
-2.35665E-01,-2.01646E+00
-2.35661E-01,-2.06582E+00
-2.35658E-01,-2.07467E+00
-2.35655E-01,-2.07544E+00
-2.35651E-01,-2.07551E+00
-2.35648E-01,-2.07513E+00
-2.35645E-01,-2.07544E+00
-2.35642E-01,-2.07597E+00
-2.35638E-01,-2.07528E+00
-2.35635E-01,-2.07627E+00
-2.35632E-01,-2.07742E+00
-2.35628E-01,-2.07750E+00
-2.35625E-01,-2.07673E+00
-2.35622E-01,-2.07666E+00
-2.35618E-01,-2.07711E+00
-2.35615E-01,-2.07757E+00
-2.35612E-01,-2.07635E+00
-2.35609E-01,-2.07689E+00
-2.35605E-01,-2.07597E+00
-2.35602E-01,-2.10603E+00
-2.35599E-01,-2.12503E+00
-2.35595E-01,-2.12358E+00
-2.35592E-01,-2.12403E+00
-2.35589E-01,-2.12442E+00
-2.35585E-01,-2.12243E+00
-2.35582E-01,-2.12281E+00
-2.35579E-01,-2.12243E+00
-2.35576E-01,-2.12373E+00
-2.35572E-01,-2.12388E+00
-2.35569E-01,-2.12442E+00
-2.35566E-01,-2.12419E+00
-2.35562E-01,-2.12579E+00
-2.35559E-01,-2.12640E+00
-2.35556E-01,-2.12609E+00
-2.35553E-01,-2.12602E+00
-2.35549E-01,-2.12747E+00
-2.35546E-01,-2.12686E+00
-2.35543E-01,-2.14212E+00
-2.35539E-01,-2.17637E+00
-2.35536E-01,-2.17553E+00
-2.35533E-01,-2.17607E+00
-2.35529E-01,-2.17736E+00
-2.35526E-01,-2.17797E+00
-2.35523E-01,-2.17897E+00
-2.35520E-01,-2.17813E+00
-2.35516E-01,-2.17691E+00
-2.35513E-01,-2.17622E+00
-2.35510E-01,-2.17698E+00
-2.35506E-01,-2.17851E+00
-2.35503E-01,-2.17981E+00
-2.35500E-01,-2.17927E+00
-2.35496E-01,-2.17752E+00
-2.35493E-01,-2.17736E+00
-2.35490E-01,-2.17767E+00
-2.35487E-01,-2.17889E+00
-2.35483E-01,-2.18347E+00
-2.35480E-01,-2.21452E+00
-2.35477E-01,-2.21391E+00
-2.35473E-01,-2.21177E+00
-2.35470E-01,-2.21116E+00
-2.35467E-01,-2.21139E+00
-2.35464E-01,-2.21315E+00
-2.35460E-01,-2.21147E+00
-2.35457E-01,-2.21116E+00
-2.35454E-01,-2.21055E+00
-2.35450E-01,-2.21063E+00
-2.35447E-01,-2.21208E+00
-2.35444E-01,-2.21261E+00
-2.35440E-01,-2.21337E+00
-2.35437E-01,-2.21315E+00
-2.35434E-01,-2.21208E+00
-2.35431E-01,-2.21223E+00
-2.35427E-01,-2.21307E+00
-2.35424E-01,-2.21246E+00
-2.35421E-01,-2.23291E+00
-2.35417E-01,-2.23703E+00
-2.35414E-01,-2.23718E+00
-2.35411E-01,-2.23741E+00
-2.35407E-01,-2.23794E+00
-2.35404E-01,-2.23687E+00
-2.35401E-01,-2.23779E+00
-2.35398E-01,-2.23741E+00
-2.35394E-01,-2.23695E+00
-2.35391E-01,-2.23817E+00
-2.35388E-01,-2.23794E+00
-2.35384E-01,-2.23870E+00
-2.35381E-01,-2.23863E+00
-2.35378E-01,-2.23870E+00
-2.35375E-01,-2.23787E+00
-2.35371E-01,-2.23817E+00
-2.35368E-01,-2.23840E+00
-2.35365E-01,-2.23970E+00
-2.35361E-01,-2.25152E+00
-2.35358E-01,-2.25740E+00
-2.35355E-01,-2.25732E+00
-2.35351E-01,-2.25778E+00
-2.35348E-01,-2.25724E+00
-2.35345E-01,-2.25618E+00
-2.35342E-01,-2.25640E+00
-2.35338E-01,-2.25625E+00
-2.35335E-01,-2.25663E+00
-2.35332E-01,-2.25648E+00
-2.35328E-01,-2.25648E+00
-2.35325E-01,-2.25633E+00
-2.35322E-01,-2.25602E+00
-2.35318E-01,-2.25602E+00
-2.35315E-01,-2.25595E+00
-2.35312E-01,-2.25496E+00
-2.35309E-01,-2.25549E+00
-2.35305E-01,-2.25564E+00
-2.35302E-01,-2.26113E+00
-2.35299E-01,-2.26411E+00
-2.35295E-01,-2.26480E+00
-2.35292E-01,-2.26503E+00
-2.35289E-01,-2.26518E+00
-2.35286E-01,-2.26533E+00
-2.35282E-01,-2.26503E+00
-2.35279E-01,-2.26541E+00
-2.35276E-01,-2.26564E+00
-2.35272E-01,-2.26587E+00
-2.35269E-01,-2.26640E+00
-2.35266E-01,-2.26556E+00
-2.35262E-01,-2.26602E+00
-2.35259E-01,-2.26587E+00
-2.35256E-01,-2.26602E+00
-2.35253E-01,-2.26648E+00
-2.35249E-01,-2.26686E+00
-2.35246E-01,-2.26571E+00
-2.35243E-01,-2.26190E+00
-2.35239E-01,-2.25663E+00
-2.35236E-01,-2.25625E+00
-2.35233E-01,-2.25679E+00
-2.35230E-01,-2.25747E+00
-2.35226E-01,-2.25702E+00
-2.35223E-01,-2.25839E+00
-2.35220E-01,-2.25908E+00
-2.35216E-01,-2.25854E+00
-2.35213E-01,-2.25938E+00
-2.35210E-01,-2.25892E+00
-2.35206E-01,-2.25892E+00
-2.35203E-01,-2.25969E+00
-2.35200E-01,-2.25938E+00
-2.35197E-01,-2.26083E+00
-2.35193E-01,-2.26060E+00
-2.35190E-01,-2.26052E+00
-2.35187E-01,-2.25915E+00
-2.35183E-01,-2.25976E+00
-2.35180E-01,-2.24267E+00
-2.35177E-01,-2.24206E+00
-2.35173E-01,-2.24221E+00
-2.35170E-01,-2.24260E+00
-2.35167E-01,-2.24214E+00
-2.35164E-01,-2.24122E+00
-2.35160E-01,-2.24176E+00
-2.35157E-01,-2.24206E+00
-2.35154E-01,-2.24160E+00
-2.35150E-01,-2.24298E+00
-2.35147E-01,-2.24328E+00
-2.35144E-01,-2.24321E+00
-2.35141E-01,-2.24382E+00
-2.35137E-01,-2.24420E+00
-2.35134E-01,-2.24397E+00
-2.35131E-01,-2.24496E+00
-2.35127E-01,-2.24534E+00
-2.35124E-01,-2.24557E+00
-2.35121E-01,-2.22993E+00
-2.35117E-01,-2.22009E+00
-2.35114E-01,-2.22062E+00
-2.35111E-01,-2.22100E+00
-2.35108E-01,-2.22116E+00
-2.35104E-01,-2.22131E+00
-2.35101E-01,-2.22192E+00
-2.35098E-01,-2.22200E+00
-2.35094E-01,-2.22123E+00
-2.35091E-01,-2.22215E+00
