in s,C1 in V
-2.35730E-01,-8.86013E-01
-2.35727E-01,-8.87462E-01
-2.35724E-01,-8.88531E-01
-2.35721E-01,-8.89904E-01
-2.35717E-01,-8.90819E-01
-2.35714E-01,-8.92650E-01
-2.35711E-01,-8.92498E-01
-2.35707E-01,-8.94176E-01
-2.35704E-01,-8.95779E-01
-2.35701E-01,-8.95779E-01
-2.35698E-01,-8.97228E-01
-2.35694E-01,-8.97991E-01
-2.35691E-01,-8.99669E-01
-2.35688E-01,-9.00738E-01
-2.35684E-01,-9.01729E-01
-2.35681E-01,-9.02874E-01
-2.35678E-01,-9.04400E-01
-2.35674E-01,-9.06689E-01
-2.35671E-01,-9.07833E-01
-2.35668E-01,-9.10274E-01
-2.35665E-01,-9.12945E-01
-2.35661E-01,-9.14928E-01
-2.35658E-01,-9.16836E-01
-2.35655E-01,-9.18743E-01
-2.35651E-01,-9.20803E-01
-2.35648E-01,-9.22634E-01
-2.35645E-01,-9.23931E-01
-2.35642E-01,-9.26296E-01
-2.35638E-01,-9.28280E-01
-2.35635E-01,-9.30034E-01
-2.35632E-01,-9.32705E-01
-2.35628E-01,-9.33849E-01
-2.35625E-01,-9.36214E-01
-2.35622E-01,-9.37893E-01
-2.35618E-01,-9.39648E-01
-2.35615E-01,-9.41784E-01
-2.35612E-01,-9.43462E-01
-2.35609E-01,-9.46590E-01
-2.35605E-01,-9.48345E-01
-2.35602E-01,-9.51397E-01
-2.35599E-01,-9.53304E-01
-2.35595E-01,-9.55135E-01
-2.35592E-01,-9.58263E-01
-2.35589E-01,-9.60476E-01
-2.35585E-01,-9.62917E-01
-2.35582E-01,-9.66427E-01
-2.35579E-01,-9.67800E-01
-2.35576E-01,-9.71081E-01
-2.35572E-01,-9.73675E-01
-2.35569E-01,-9.76650E-01
-2.35566E-01,-9.80083E-01
-2.35562E-01,-9.82754E-01
-2.35559E-01,-9.85576E-01
-2.35556E-01,-9.87484E-01
-2.35553E-01,-9.91146E-01
-2.35549E-01,-9.93206E-01
-2.35546E-01,-9.96410E-01
-2.35543E-01,-1.00015E+00
-2.35539E-01,-1.00190E+00
-2.35536E-01,-1.00496E+00
-2.35533E-01,-1.00793E+00
-2.35529E-01,-1.01045E+00
-2.35526E-01,-1.01327E+00
-2.35523E-01,-1.01609E+00
-2.35520E-01,-1.01899E+00
-2.35516E-01,-1.02204E+00
-2.35513E-01,-1.02555E+00
-2.35510E-01,-1.02830E+00
-2.35506E-01,-1.03105E+00
-2.35503E-01,-1.03334E+00
-2.35500E-01,-1.03639E+00
-2.35496E-01,-1.03921E+00
-2.35493E-01,-1.04234E+00
-2.35490E-01,-1.04394E+00
-2.35487E-01,-1.04646E+00
-2.35483E-01,-1.04966E+00
-2.35480E-01,-1.05340E+00
-2.35477E-01,-1.05722E+00
-2.35473E-01,-1.06004E+00
-2.35470E-01,-1.06385E+00
-2.35467E-01,-1.06614E+00
-2.35464E-01,-1.06950E+00
-2.35460E-01,-1.07347E+00
-2.35457E-01,-1.07598E+00
-2.35454E-01,-1.07988E+00
-2.35450E-01,-1.08285E+00
-2.35447E-01,-1.08613E+00
-2.35444E-01,-1.08903E+00
-2.35440E-01,-1.09330E+00
-2.35437E-01,-1.09559E+00
-2.35434E-01,-1.09872E+00
-2.35431E-01,-1.10147E+00
-2.35427E-01,-1.10475E+00
-2.35424E-01,-1.10810E+00
-2.35421E-01,-1.11055E+00
-2.35417E-01,-1.11375E+00
-2.35414E-01,-1.11695E+00
-2.35411E-01,-1.12092E+00
-2.35407E-01,-1.12329E+00
-2.35404E-01,-1.12725E+00
-2.35401E-01,-1.13076E+00
-2.35398E-01,-1.13389E+00
-2.35394E-01,-1.13771E+00
-2.35391E-01,-1.14083E+00
-2.35388E-01,-1.14442E+00
-2.35384E-01,-1.14679E+00
-2.35381E-01,-1.15045E+00
-2.35378E-01,-1.15426E+00
-2.35375E-01,-1.15777E+00
-2.35371E-01,-1.16204E+00
-2.35368E-01,-1.16525E+00
-2.35365E-01,-1.16929E+00
-2.35361E-01,-1.17311E+00
-2.35358E-01,-1.17799E+00
-2.35355E-01,-1.18043E+00
-2.35351E-01,-1.18409E+00
-2.35348E-01,-1.18730E+00
-2.35345E-01,-1.19073E+00
-2.35342E-01,-1.19439E+00
-2.35338E-01,-1.19661E+00
-2.35335E-01,-1.20012E+00
-2.35332E-01,-1.20301E+00
-2.35328E-01,-1.20629E+00
-2.35325E-01,-1.20965E+00
-2.35322E-01,-1.21316E+00
-2.35318E-01,-1.21606E+00
-2.35315E-01,-1.21919E+00
-2.35312E-01,-1.22285E+00
-2.35309E-01,-1.22522E+00
-2.35305E-01,-1.22888E+00
-2.35302E-01,-1.23201E+00
-2.35299E-01,-1.23613E+00
-2.35295E-01,-1.24040E+00
-2.35292E-01,-1.24314E+00
-2.35289E-01,-1.24612E+00
-2.35286E-01,-1.24948E+00
-2.35282E-01,-1.25238E+00
-2.35279E-01,-1.25642E+00
-2.35276E-01,-1.25978E+00
-2.35272E-01,-1.26191E+00
-2.35269E-01,-1.26535E+00
-2.35266E-01,-1.26916E+00
-2.35262E-01,-1.27114E+00
-2.35259E-01,-1.27427E+00
-2.35256E-01,-1.27832E+00
-2.35253E-01,-1.28129E+00
-2.35249E-01,-1.28495E+00
-2.35246E-01,-1.28823E+00
-2.35243E-01,-1.29220E+00
-2.35239E-01,-1.29586E+00
-2.35236E-01,-1.29907E+00
-2.35233E-01,-1.30357E+00
-2.35230E-01,-1.30746E+00
-2.35226E-01,-1.31028E+00
-2.35223E-01,-1.31387E+00
-2.35220E-01,-1.31784E+00
-2.35216E-01,-1.32013E+00
-2.35213E-01,-1.32333E+00
-2.35210E-01,-1.32600E+00
-2.35206E-01,-1.32798E+00
-2.35203E-01,-1.33073E+00
-2.35200E-01,-1.33317E+00
-2.35197E-01,-1.33714E+00
-2.35193E-01,-1.34019E+00
-2.35190E-01,-1.34401E+00
-2.35187E-01,-1.34629E+00
-2.35183E-01,-1.35003E+00
-2.35180E-01,-1.35331E+00
-2.35177E-01,-1.35606E+00
-2.35173E-01,-1.35972E+00
-2.35170E-01,-1.36132E+00
-2.35167E-01,-1.36399E+00
-2.35164E-01,-1.36773E+00
-2.35160E-01,-1.37078E+00
-2.35157E-01,-1.37345E+00
-2.35154E-01,-1.37574E+00
-2.35150E-01,-1.37963E+00
